ufs_serial,run_wf_xy,prob,health
S00420,0000007_25_39_24,0.5659210383862224,0.0067010031280336
S00423,0000007_17_22_25,0.5749637996973725,0.0022000593174946
S00429,0000007_11_50_24,0.5819519976660641,0.0
S00430,0000007_21_26_14,0.5575168572929635,0.0065350023668016
S00432,0000007_12_23_14,0.5312092968370967,0.0
S00434,0000007_13_45_12,0.5431086931325503,0.002191705914519
S00435,0000007_13_53_24,0.5958777642254427,0.0
S00436,0000007_18_58_26,0.5798290174102163,0.0
S00438,0000025_16_49_27,0.3687564085354564,0.0
S00439,0000003_10_28_12,0.52658201165289,0.0
S00440,0000026_1_22_24,0.36836203975605025,0.0122367980460517
S00441,0000022_20_45_13,0.30504867462616586,0.0
S00446,0000025_3_42_23,0.4190725235233099,0.0
S00448,0000020_24_23_26,0.5426730443175625,0.012265971677205
S00450,0000020_1_40_16,0.5297922112640837,0.0
S00452,0000020_24_37_19,0.5244035362285685,0.0048683965637152
S00453,0000020_19_32_25,0.4427060800287324,0.0024367761990213
S00454,0000020_16_18_16,0.44264917945846366,0.0
S00455,0000020_4_42_20,0.43108583126083583,0.0
S00456,0000018_25_36_22,0.49993384013135517,0.0
S00457,0000020_19_59_19,0.43433702475404096,0.0047714366632584
S00461,0000027_23_43_27,0.4800585618155509,0.0
S00462,0000015_10_27_26,0.4556143606666279,0.0
S00463,0000027_23_50_14,0.44898103176923604,0.0
S00464,0000015_3_25_29,0.3951894142458684,0.0
S00465,0000027_25_23_26,0.4833214049502352,0.0
S00467,0000027_23_30_21,0.5010019814589098,0.0047907539412867
S00469,0000027_20_31_20,0.5037212306379493,0.0024476488781198
S00470,0000015_10_45_28,0.41932969943602344,0.0
S00472,0000027_25_48_20,0.4920710364169393,0.0
S00473,0000015_8_36_25,0.4195573900780848,0.0
S00475,0000022_15_20_25,0.4327851468742417,0.0
S00476,0000022_14_27_22,0.41034235450333656,0.0048258518065386
S00478,0000027_22_27_26,0.4997294463546886,0.0
S00482,0000022_14_24_28,0.4141099357746191,0.0
S00483,0000022_14_31_14,0.3927710186326286,0.0
S00484,0000027_16_16_24,0.47823497678109644,0.0
S00485,0000027_14_42_22,0.4156796801468808,0.0
S00486,0000022_10_25_26,0.3576827997427121,0.0023937848290876
S00487,0000022_14_21_26,0.415431264882518,0.0047925556278778
S00488,0000022_10_60_26,0.3824464418372947,0.0024354507544016
S00491,0000022_9_32_22,0.4003112511204437,0.0
S00493,0000027_5_40_26,0.3738904661983426,0.0
S00495,0000023_17_44_12,0.4483720124509856,0.0
S00497,0000023_19_37_22,0.42438612620089977,0.0043514615044499
S00498,0000023_22_24_29,0.42946497141375933,0.0
S00499,0000023_21_33_19,0.4502949349497194,0.0
S00500,0000023_22_30_16,0.4177900585351083,0.0021848266645565
S00501,0000004_10_20_27,0.5088184437484671,0.0021832142888519
S00502,0000004_22_41_17,0.4778789665631558,0.0022247289590775
S00503,0000004_10_42_31,0.48434188724752786,0.0
S00505,0000004_10_32_15,0.5668959846213025,0.0
S00510,0000004_16_41_13,0.514677710007102,0.0022227290819726
S00512,0000006_17_25_17,0.5298002311501046,0.0043474647807241
