ufs_serial,position,split,health,reg_pred_die
S00582,1,train,0.0022362909068002,0.0035586597380079295
S00583,1,train,0.0,0.0031599241867908876
S00584,1,train,0.0,0.0013256503964952252
S00585,1,train,0.0,0.002102310902191869
S00586,1,train,0.0,0.0012492760612455398
S00587,1,train,0.0,0.001327038891032677
S00588,1,train,0.0,0.0020661864437155624
S00589,1,train,0.0,0.001474656427672374
S00590,1,train,0.0,0.0023189057295131175
S00593,1,train,0.0,0.0014630299713045264
S00594,1,train,0.0,0.001182394724824227
S00598,1,train,0.0,0.0015418377613400703
S00599,1,train,0.0,0.0026358285074582566
S00600,1,train,0.0,0.0033782775968559785
S00603,1,train,0.0,0.0014580330584956294
S00605,1,train,0.0,0.0032185317971520347
S00606,1,train,0.0,0.004045209841274174
S00607,1,train,0.0,0.0037891637243437377
S00612,1,train,0.0,0.0038782257796597824
S00614,1,train,0.0,0.003746527212555189
S00616,1,train,0.0,0.004131462668244822
S00617,1,train,0.0,0.003932805586384011
S00618,1,train,0.0,0.004235143156165736
S00619,1,train,0.0,0.003902309437175392
S00621,1,train,0.0,0.004151089789811372
S00624,1,train,0.0,0.004104698601500774
S00626,1,train,0.0,0.0035067453396364495
S00629,1,train,0.0,0.0038301389253955764
S00630,1,train,0.0,0.004135693279059968
S00632,1,train,0.0,0.002420260325902325
S00634,1,train,0.0,0.0033325589272208147
S00635,1,train,0.0,0.003620111110872836
S00636,1,train,0.0,0.0034496326952117365
S00637,1,train,0.0,0.0032164253193558406
S00638,1,train,0.0,0.003474526233093378
S00639,1,train,0.0,0.003745127852318904
S00640,1,train,0.0,0.003956056453160159
S00642,1,train,0.0,0.001478178466589014
S00643,1,train,0.0,0.0010103420341877288
S00644,1,train,0.0,0.0014286917763657971
S00645,1,train,0.0,0.0014220216432860764
S00646,1,train,0.0,0.0013240186232984874
S00647,1,train,0.0,0.0013179136701147456
S00648,1,train,0.0,0.0008118352237597221
S00651,1,train,0.0,0.001367199873026986
S00654,1,train,0.0,0.0013213628430414545
S00656,1,train,0.0,0.001628614013418593
S00657,1,train,0.0,0.0011795971258293505
S00658,1,train,0.0,0.0009169033693799792
S00660,1,train,0.0,0.0029377987321797913
S00661,1,train,0.0,0.0018839647459443641
S00662,1,train,0.0,0.003082871228113512
S00664,1,train,0.0,0.0020456831815456
S00666,1,train,0.0,0.002234813155851711
S00667,1,train,0.0,0.002282040887419289
S00668,1,train,0.0,0.0020248561098656455
S00670,1,train,0.0,0.0021271128468469745
S00671,1,train,0.0,0.001851593377864534
S00673,1,train,0.0,0.002394349758307282
S00676,1,train,0.0,0.0016729249766006722
S00677,1,train,0.0,0.0023556091085004636
S00679,1,train,0.0,0.0037339357508501566
S00683,1,train,0.0,0.004478705384844171
S00685,1,train,0.0,0.003937180777462585
S00686,1,train,0.0,0.0029180100502469723
S00687,1,train,0.0,0.003258140032260189
S00689,1,train,0.0,0.0035755163701914256
S00690,1,train,0.0,0.002847978759379325
S00691,1,train,0.0,0.0022299915596237295
S00692,1,train,0.0,0.0034145249206577327
S00693,1,train,0.0,0.003266590946601413
S00698,1,train,0.0,0.004001745504814674
S00700,1,train,0.0,0.003939679902042548
S00702,1,train,0.0,0.0014061239169619163
S00703,1,train,0.0,0.0014495062645167734
S00705,1,train,0.0,0.001522823667424368
S00706,1,train,0.0,0.0010834055223421966
S00707,1,train,0.0,0.001336689886223118
S00708,1,train,0.0,0.0021747333809145415
S00711,1,train,0.0,0.0012229249273999444
S00713,1,train,0.0,0.0014662628973916639
S00717,1,train,0.0,0.002910357716806803
S00718,1,train,0.0,0.0029444760215750223
S00719,1,train,0.0,0.0041873748918918215
S00720,1,train,0.0,0.0023318293071349526
S00722,1,train,0.0,0.0028442262833771703
S00726,1,train,0.0,0.004043930579073169
S00727,1,train,0.0,0.0023954785464792494
S00728,1,train,0.0,0.0036861901249907445
S00729,1,train,0.0,0.0029212062184298866
S00731,1,train,0.0,0.0032781105623526275
S00732,1,train,0.0,0.0037463085958926155
S00733,1,train,0.0,0.003310751916866069
S00735,1,train,0.0,0.0017279503467676055
S00736,1,train,0.0,0.0017851290876008741
S00737,1,train,0.0,0.001816898490704868
S00738,1,train,0.0,0.0017909614373955308
S00740,1,train,0.0,0.0012596873192664666
S00741,1,train,0.0,0.0018895820599466697
S00742,1,train,0.0,0.0015205382640980072
S00747,1,train,0.0,0.00110656660093728
S00748,1,train,0.0,0.0029667989352211493
S00752,1,train,0.0,0.002345518579733567
S00754,1,train,0.0,0.003059368930741707
S00755,1,train,0.0,0.0014248655081437738
S00757,1,train,0.0,0.0016611301232324596
S00758,1,train,0.0,0.0018887723233640126
S00761,1,train,0.0,0.0013076805686304252
S00763,1,train,0.0,0.0037465510472550674
S00769,1,train,0.0,0.002589091475677404
S00771,1,train,0.0,0.00274015446492242
S00772,1,train,0.0,0.004101347950492853
S00773,1,train,0.0,0.0023944726853354415
S00774,1,train,0.0,0.00351051466650799
S00777,1,train,0.0,0.0029336868746229422
S00778,1,train,0.0,0.0029112993004825347
S00781,1,train,0.0,0.0022326808358476076
S00782,1,train,0.0,0.002253535348120581
S00784,1,train,0.0,0.0037946994532027625
S00786,1,train,0.0,0.0038646726097708653
S00787,1,train,0.0,0.0037032647874832964
