ufs_serial,position,split,health,clf_proba_mean,lds_weight
S00436,1,train,0.0,0.5143771697043403,
S00438,1,train,0.0,0.18951067398118912,
S00439,1,train,0.0,0.4378583461103564,
S00440,1,train,0.0122367980460517,0.15604182718519968,
S00441,1,train,0.0,0.15059482107417213,
S00446,1,train,0.0,0.3712156616363745,
S00448,1,train,0.012265971677205,0.44705353673559584,
S00450,1,train,0.0,0.4789421338246527,
S00452,1,train,0.0048683965637152,0.4171388035497212,
S00453,1,train,0.0024367761990213,0.4178781098090872,
S00454,1,train,0.0,0.3651405451985649,
S00455,1,train,0.0,0.25323831349777975,
S00456,1,train,0.0,0.3644667228779932,
S00457,1,train,0.0047714366632584,0.33910181270477074,
S00461,1,train,0.0,0.3306765408332679,
S00462,1,train,0.0,0.24132652724739168,
S00463,1,train,0.0,0.29243750877479135,
S00464,1,train,0.0,0.13134454307081708,
S00465,1,train,0.0,0.2902294620037666,
S00467,1,train,0.0047907539412867,0.380404028768927,
S00469,1,train,0.0024476488781198,0.39511325279329607,
S00470,1,train,0.0,0.20025378751370804,
S00472,1,train,0.0,0.26164054974625867,
S00473,1,train,0.0,0.2183540328450253,
S00475,1,train,0.0,0.38803968170765063,
S00476,1,train,0.0048258518065386,0.36359212584691586,
S00478,1,train,0.0,0.3246458633237905,
S00482,1,train,0.0,0.3123380152913691,
S00483,1,train,0.0,0.3135476465133346,
S00484,1,train,0.0,0.40899128312420996,
S00485,1,train,0.0,0.3037492473897991,
S00486,1,train,0.0023937848290876,0.21855871571955765,
S00487,1,train,0.0047925556278778,0.38082751571990175,
S00488,1,train,0.0024354507544016,0.30436170039973387,
S00491,1,train,0.0,0.3232267643395533,
S00493,1,train,0.0,0.25616439700519933,
S00495,1,train,0.0,0.3939094363714642,
S00497,1,train,0.0043514615044499,0.37439026470037695,
S00498,1,train,0.0,0.2903612019104685,
S00499,1,train,0.0,0.3863472914600359,
S00500,1,train,0.0021848266645565,0.34138678607798595,
S00501,1,train,0.0021832142888519,0.44362133807289145,
S00502,1,train,0.0022247289590775,0.4316478639558638,
S00503,1,train,0.0,0.4598222416713403,
S00505,1,train,0.0,0.4799774541065212,
S00510,1,train,0.0022227290819726,0.4545776648074556,
S00512,1,train,0.0043474647807241,0.3827165090041915,
S00513,1,train,0.0,0.4264021438184736,
S00514,1,train,0.0,0.4128468299712238,
S00515,1,train,0.0065527516282994,0.44164852757974454,
S00516,1,train,0.0,0.44732358895051033,
S00518,1,train,0.0,0.4242743032321557,
S00519,1,train,0.0,0.4390756361233752,
S00520,1,train,0.0,0.3911307332141538,
S00521,1,train,0.004380398378283,0.4292403553167434,
S00522,1,train,0.0,0.36518304284090247,
S00523,1,train,0.0,0.42263859437800394,
S00524,1,train,0.0073659093266936,0.36169301272502846,
S00525,1,train,0.0022026334100044,0.41290187573240034,
S00527,1,train,0.0022325840475805,0.36869913327094456,
S00529,1,train,0.0022204351516776,0.4425626310283568,
S00531,1,train,0.0,0.22014138553853715,
S00537,1,train,0.0,0.40368009841854957,
S00538,1,train,0.0,0.46846335345637485,
S00539,1,train,0.0,0.43303080301041424,
S00540,1,train,0.0043980160257686,0.39892063913166353,
S00543,1,train,0.0024125042473666,0.4204723991564992,
S00545,1,train,0.0,0.39088912355722183,
S00547,1,train,0.0024299851365094,0.41532529179585737,
S00548,1,train,0.0022212091958954,0.4541144614234656,
S00550,1,train,0.0048952977562397,0.34278502432302876,
S00551,1,train,0.0,0.4021578750872674,
S00552,1,train,0.0021787351938066,0.35600443660513315,
S00553,1,train,0.0,0.4400228880375227,
S00554,1,train,0.0,0.4083999399807188,
S00555,1,train,0.0,0.3914666543142172,
S00557,1,train,0.0086994954467681,0.4200905754311741,
S00558,1,train,0.0,0.43786383472807056,
S00559,1,train,0.0,0.48001040402723233,
S00560,1,train,0.0,0.43232397897271174,
S00561,1,train,0.0,0.4755353598564178,
S00562,1,train,0.0109444848164541,0.4486602077272144,
S00564,1,train,0.0,0.3885527932751131,
S00565,1,train,0.0,0.43091517504519267,
S00566,1,train,0.0,0.45703136473793143,
S00567,1,train,0.0,0.43047974539350586,
S00568,1,train,0.0,0.4561087836003784,
S00570,1,train,0.0022028091356744,0.07851090575956378,
S00571,1,train,0.0,0.15395594211326535,
S00574,1,train,0.0,0.1472088912240578,
S00577,1,train,0.0,0.15442939323846394,
S00579,1,train,0.0,0.20529902788324902,
