ufs_serial,pred
S00260,0.002540434822156397
S00261,0.002540434822156397
S00262,0.0025130603424351923
S00264,0.002498112266338372
S00265,0.0025410657144577455
S00267,0.0025410657144577455
S00268,0.0025130603424351923
S00269,0.0026086976268640616
S00270,0.0025410657144577455
S00271,0.002278934828683615
S00273,0.00234825038720015
S00275,0.002180787014224426
S00277,0.002701951406042339
S00278,0.00257096800455678
S00283,0.0025429007312312716
S00284,0.002566110471706462
S00289,0.0024281785759378617
S00290,0.00227672148369553
S00294,0.002637266101533638
S00296,0.002701951406042339
S00297,0.002730183400826169
S00302,0.0024561253684700713
S00303,0.0024849097321675605
S00308,0.0025270928424159745
S00309,0.002552240478190978
S00310,0.002552240478190978
S00311,0.0025429007312312716
S00312,0.0025429007312312716
S00313,0.0026271025512077974
S00314,0.002540654052489958
S00315,0.0025410657144577455
S00316,0.002385188832718212
S00318,0.0025130603424351923
S00319,0.002540654052489958
S00321,0.002410330330619547
S00323,0.002360722486429585
S00324,0.0020426527281733114
S00325,0.0020936690899666195
S00326,0.002278934828683615
S00327,0.0023772970727049345
S00328,0.002278934828683615
S00329,0.0022733750536761926
S00331,0.0024063437582097194
S00332,0.0023772970727049345
S00334,0.002278934828683615
S00335,0.002278934828683615
S00336,0.002278934828683615
S00339,0.0023327221521849
S00340,0.0026086976268640616
S00341,0.0025410657144577455
S00342,0.002166942630457831
S00343,0.002122708398052555
S00344,0.002215820126453231
S00347,0.002180787014224426
S00349,0.0021308359277606888
S00350,0.0022733750536761926
S00351,0.002457049598390086
S00352,0.0025429007312312716
S00354,0.002540654052489958
S00356,0.002655169824533306
S00357,0.0025791593476704494
S00358,0.002730183400826169
S00360,0.002655169824533306
S00361,0.0026799215082406445
S00362,0.002666319478465232
S00363,0.0025791593476704494
S00366,0.00239945673612658
S00369,0.0026086976268640616
S00371,0.002553791041535516
S00373,0.0025130603424351923
S00376,0.0024277926794723063
S00377,0.0024565770431697956
S00378,0.002342788103783089
S00379,0.002439942289078563
S00380,0.002498884456206971
S00383,0.0027370545417107635
S00384,0.002427341004772582
S00388,0.00265268801298296
S00389,0.002429044226367533
S00390,0.002457049598390086
S00393,0.0027370545417107635
S00395,0.0025410657144577455
S00396,0.002468268432651491
S00398,0.002400350322482146
S00400,0.002730183400826169
S00402,0.002400350322482146
S00403,0.002439942289078563
S00404,0.002400350322482146
S00405,0.0023102178737032337
S00406,0.002655169824533306
S00408,0.0024353904437145043
S00409,0.0025530188516669173
S00410,0.0025136940958650498
S00411,0.002064629781880684
S00412,0.002064629781880684
S00416,0.0022384154520789876
S00417,0.0027370545417107635
S00420,0.002730183400826169
S00423,0.002655169824533306
S00429,0.0027370545417107635
S00430,0.002637266101533638
S00432,0.0026246795228597095
S00434,0.0025791593476704494
S00435,0.002655169824533306
S00436,0.002730183400826169
S00438,0.002411230410396886
S00439,0.002550105970738855
S00440,0.002372637647589522
S00441,0.0021517477061384904
S00446,0.0023445782831723523
S00448,0.002540434822156397
S00450,0.0023505255919233207
S00452,0.002360722486429585
S00453,0.0022579349756996735
S00454,0.0022296806203972366
S00455,0.0022733750536761926
S00456,0.002442433491141228
S00457,0.002180787014224426
S00461,0.002540434822156397
S00462,0.002278934828683615
S00463,0.00239945673612658
S00464,0.0020936690899666195
S00465,0.0024281785759378617
S00467,0.0024063437582097194
S00469,0.002429044226367533
S00470,0.002278934828683615
S00472,0.002319203701695365
S00473,0.002267411839586333
S00475,0.0022125224837272117
S00476,0.0022407406981900177
S00478,0.0023706756267770517
S00482,0.0022579349756996735
S00483,0.002295633145056669
S00484,0.002319203701695365
S00485,0.002319203701695365
S00486,0.0022579349756996735
S00487,0.0023505255919233207
S00488,0.002194940680014277
S00491,0.0022681869216233433
S00493,0.0025429007312312716
S00495,0.0021582651992302694
S00497,0.0021025100305750682
S00498,0.0021457103614943903
S00499,0.002322304286452985
S00500,0.002278934828683615
S00501,0.00265268801298296
S00502,0.002372637647589522
