ufs_serial,position,split,health,clf_proba
S00731,1,train,0.0,0.340016708437761
S00733,1,train,0.0,0.22556390977443608
S00735,1,train,0.0,0.3027522935779816
S00736,1,train,0.0,0.1527777777777778
S00737,1,train,0.0,0.17484662576687116
S00738,1,train,0.0,0.1527777777777778
S00740,1,train,0.0,0.11
S00742,1,train,0.0,0.27876712328767117
S00747,1,train,0.0,0.10648148148148148
S00748,1,train,0.0,0.22556390977443608
S00752,1,train,0.0,0.3333333333333333
S00755,1,train,0.0,0.340016708437761
S00757,1,train,0.0,0.03684210526315789
S00758,1,train,0.0,0.07142857142857142
S00761,1,train,0.0,0.037037037037037035
S00769,1,train,0.0,0.3492702566683442
S00772,1,train,0.0,0.36920700308959836
S00773,1,train,0.0,0.2053872053872054
S00774,1,train,0.0,0.36920700308959836
S00777,1,train,0.0,0.3492702566683442
S00778,1,train,0.0,0.27876712328767117
S00781,1,train,0.0,0.27876712328767117
S00782,1,train,0.0,0.3391812865497077
S00784,1,train,0.0,0.36920700308959836
S00786,1,train,0.0,0.3492702566683442
S00788,1,train,0.0,0.340016708437761
S00791,1,train,0.0,0.3644067796610169
S00795,1,train,0.0,0.3492702566683442
S00797,1,train,0.0,0.3027522935779816
S00798,1,train,0.0,0.340016708437761
S00800,1,train,0.0,0.36920700308959836
S00803,1,train,0.0,0.27876712328767117
S00816,1,train,0.0,0.3492702566683442
S00819,1,train,0.0,0.36920700308959836
S00824,1,train,0.0,0.3492702566683442
S00827,1,train,0.0,0.36920700308959836
S00828,1,train,0.0,0.36920700308959836
S00829,1,train,0.0,0.340016708437761
S00834,1,train,0.0,0.036585365853658534
S00836,1,train,0.0,0.11
S00837,1,train,0.0,0.1527777777777778
S00843,1,train,0.0,0.22556390977443608
S00847,1,train,0.0,0.27876712328767117
S00853,1,train,0.0,0.22556390977443608
S00855,1,train,0.0,0.1527777777777778
S00864,1,train,0.0,0.27876712328767117
S00865,1,train,0.0,0.10648148148148148
S00866,1,train,0.0,0.032388663967611336
S00868,1,train,0.0,0.11
S00877,1,train,0.0,0.27876712328767117
S00884,1,train,0.0,0.340016708437761
S00888,1,train,0.0,0.3492702566683442
S00895,1,train,0.0,0.1527777777777778
S00897,1,train,0.0,0.1527777777777778
S00899,1,train,0.0,0.36920700308959836
S00908,1,train,0.0,0.27876712328767117
S00915,1,train,0.0,0.36920700308959836
S00918,1,train,0.0,0.1527777777777778
S00919,1,train,0.0,0.17484662576687116
S00920,1,train,0.0257126597340783,0.1527777777777778
S00921,1,train,0.0,0.17484662576687116
S00927,1,train,0.0,0.11
S00928,1,train,0.0,0.27876712328767117
S00937,1,train,0.0,0.27876712328767117
S00945,1,train,0.0,0.36920700308959836
S00949,1,train,0.0,0.36920700308959836
S00951,1,train,0.0,0.38271604938271603
S00965,1,train,0.0,0.27876712328767117
S00966,1,train,0.0,0.36920700308959836
S00970,1,train,0.0,0.037037037037037035
S00973,1,train,0.0,0.3802083333333333
S00975,1,train,0.0,0.36920700308959836
S00984,1,train,0.0,0.3391812865497077
S00985,1,train,0.0,0.36920700308959836
S00988,1,train,0.0,0.36920700308959836
S00996,1,train,0.0,0.22556390977443608
S01000,1,train,0.0,0.27876712328767117
S01004,1,train,0.0,0.27876712328767117
S01009,1,train,0.0,0.340016708437761
S01010,1,train,0.0,0.3802083333333333
S01014,1,train,0.0,0.36920700308959836
S01017,1,train,0.0,0.340016708437761
S01020,1,train,0.0,0.036585365853658534
S01028,1,train,0.0,0.11
S01029,1,train,0.0,0.032388663967611336
S01037,1,train,0.0,0.030120481927710843
S01041,1,train,0.0,0.03684210526315789
S01043,1,train,0.0,0.030120481927710843
S01047,1,train,0.0,0.27876712328767117
S01049,1,train,0.0,0.3492702566683442
S01051,1,train,0.0,0.22556390977443608
S01053,1,train,0.0,0.11
S01060,1,train,0.0,0.1527777777777778
S01063,1,train,0.0,0.03684210526315789
S01069,1,train,0.0,0.03684210526315789
S01076,1,train,0.0,0.36920700308959836
S01079,1,train,0.0,0.3027522935779816
S01083,1,train,0.0,0.3027522935779816
S01089,1,train,0.0,0.2702702702702703
S01091,1,train,0.0,0.3027522935779816
S01099,1,train,0.0,0.36920700308959836
S01100,1,train,0.0,0.27876712328767117
S01102,1,train,0.0,0.22556390977443608
S01108,1,train,0.0,0.1527777777777778
S01112,1,train,0.0,0.1527777777777778
S01116,1,train,0.0,0.11
S01118,1,train,0.0,0.17484662576687116
S01120,1,train,0.0,0.17484662576687116
S01124,1,train,0.0,0.36920700308959836
S01128,1,train,0.0,0.27876712328767117
S01130,1,train,0.0,0.17484662576687116
S01137,1,train,0.0,0.07142857142857142
S01144,1,train,0.0,0.340016708437761
S01145,1,train,0.0,0.340016708437761
S01147,1,train,0.0,0.36920700308959836
S01148,1,train,0.0,0.3492702566683442
S01153,1,train,0.0,0.3027522935779816
S01157,1,train,0.0,0.3492702566683442
S01158,1,train,0.0,0.3492702566683442
S01160,1,train,0.0,0.3027522935779816
S01163,1,train,0.0,0.36920700308959836
S01165,1,train,0.0,0.3492702566683442
S01180,1,train,0.0,0.27876712328767117
S01183,1,train,0.0,0.22556390977443608
S01188,1,train,0.0,0.3027522935779816
S01193,1,train,0.0,0.11
S01194,1,train,0.0,0.1527777777777778
S01199,1,train,0.0,0.3027522935779816
S01202,1,train,0.0,0.17484662576687116
S01203,1,train,0.0,0.17484662576687116
S01209,1,train,0.0,0.3630573248407643
S01210,1,train,0.0,0.3492702566683442
S01215,1,train,0.0,0.03684210526315789
S01216,1,train,0.0059559118716782,0.27876712328767117
S01223,1,train,0.0057164382104212,0.27876712328767117
S01226,1,train,0.0100747716597455,0.3644067796610169
S01232,1,train,0.0102230920225207,0.27876712328767117
S01233,1,train,0.0042819726367301,0.3492702566683442
S01246,1,train,0.0,0.340016708437761
S01254,1,train,0.0,0.36920700308959836
S01258,1,train,0.0088358697198122,0.36920700308959836
S01259,1,train,0.0014739945251631,0.3391812865497077
S01262,1,train,0.0,0.4444444444444444
S01264,1,train,0.0,0.38271604938271603
S01267,1,train,0.0029844203649159,0.3644067796610169
S01271,1,train,0.0100710969071687,0.3492702566683442
S01273,1,train,0.0119137511536202,0.3492702566683442
S01274,1,train,0.007401450505592,0.3492702566683442
S01275,1,train,0.0072729720553975,0.36920700308959836
S01278,1,train,0.0014399411275579,0.36920700308959836
S01279,1,train,0.0042902894434709,0.38271604938271603
S01281,1,train,0.0,0.3027522935779816
S01282,1,train,0.0,0.340016708437761
S01283,1,train,0.0029426479687143,0.36920700308959836
S01285,1,train,0.0,0.3492702566683442
S01286,1,train,0.0,0.38271604938271603
S01288,1,train,0.00444929858643,0.3492702566683442
S01293,1,train,0.0,0.36920700308959836
S01304,1,train,0.0029803935678669,0.36920700308959836
S01308,1,train,0.0044133056280746,0.36920700308959836
S01317,1,train,0.0,0.3644067796610169
S01320,1,train,0.0,0.3157894736842105
S01322,1,train,0.0,0.030120481927710843
S01323,1,train,0.0,0.03684210526315789
S01331,1,train,0.0,0.030120481927710843
S01342,1,train,0.0,0.340016708437761
S01343,1,train,0.0,0.07142857142857142
S01346,1,train,0.0057665309153352,0.1527777777777778
S01347,1,train,0.0,0.036585365853658534
S01348,1,train,0.0,0.030120481927710843
S01352,1,train,0.0,0.27876712328767117
S01355,1,train,0.0,0.27876712328767117
S01357,1,train,0.0,0.11
S01364,1,train,0.0,0.27876712328767117
S01366,1,train,0.0,0.3644067796610169
S01368,1,train,0.0,0.36920700308959836
S01370,1,train,0.0,0.36920700308959836
S01371,1,train,0.0,0.3644067796610169
S01377,1,train,0.0,0.27876712328767117
S01379,1,train,0.0,0.2702702702702703
S01380,1,train,0.0,0.3492702566683442
S01383,1,train,0.0,0.3027522935779816
S01387,1,train,0.0088018347486518,0.3027522935779816
S01389,1,train,0.0057933510514291,0.3027522935779816
S01392,1,train,0.0042994567286065,0.3027522935779816
S01397,1,train,0.0,0.3644067796610169
S01402,1,train,0.0087918697317329,0.36920700308959836
S01405,1,train,0.0,0.36920700308959836
S01409,1,train,0.0073868635704263,0.3027522935779816
S01410,1,train,0.0,0.36920700308959836
S01411,1,train,0.0071353300772108,0.3492702566683442
S01416,1,train,0.0,0.36920700308959836
S01418,1,train,0.0,0.36920700308959836
S01419,1,train,0.0,0.27876712328767117
S01423,1,train,0.0,0.3027522935779816
S01428,1,train,0.001488509723233,0.340016708437761
S01437,1,train,0.0,0.340016708437761
S01439,1,train,0.0014258991484771,0.27876712328767117
S01448,1,train,0.0129361953183293,0.340016708437761
S01457,1,train,0.0,0.340016708437761
S01458,1,train,0.0,0.3644067796610169
S01462,1,train,0.0,0.27876712328767117
S01468,1,train,0.0,0.27876712328767117
