ufs_serial,position,split,health,clf_proba
S02517,1,train,0.0,0.26916748843598304
S02529,1,train,0.0,0.39140702832000895
S02556,1,train,0.0,0.3275556863539535
S02567,1,train,0.0,0.29429165094998616
S02613,1,train,0.0029144090258719,0.3501585324639371
S02650,1,train,0.0,0.2541972043046781
S02715,1,train,0.0,0.6005120148791813
S02745,1,train,0.0,0.7261461502329545
S02763,1,train,0.0,0.2116725172376555
S02783,1,train,0.0,0.5505408777846382
S02833,1,train,0.0,0.38097030046951424
S02861,1,train,0.0,0.44007804018178176
S02868,1,train,0.0,0.21545633518601176
S02898,1,train,0.0,0.44509986094732623
S02944,1,train,0.0,0.09976924676972915
S02974,1,train,0.0,0.49707840913178486
S03106,1,train,0.0030980788171198,0.4449036576852336
S03122,1,train,0.0,0.12647740608647842
S03133,1,train,0.0,0.1455576119434445
S03152,1,train,0.0122039183908998,0.39405712907987156
S03268,1,train,0.0,0.4813800542866255
S03315,1,train,0.0,0.21133017380343902
S03368,1,train,0.0028596251992243,0.4808399099756404
S03388,1,train,0.0,0.4381624626406791
S03452,1,train,0.0,0.45805357736850916
S03495,1,train,0.0,0.19229684777619896
S03576,1,train,0.0,0.31079441376401284
S03682,1,train,0.0,0.615119583630251
S03697,1,train,0.0,0.774870867832139
S03704,1,train,0.0,0.1258870813820764
S03723,1,train,0.0,0.6558436245866438
S03729,1,train,0.0,0.41073398183870785
S03781,1,train,0.0,0.27738575242619556
S03808,1,train,0.0,0.4179810267737909
S03825,1,train,0.0,0.6456180118091467
S03826,1,train,0.0,0.7687227505163227
S03838,1,train,0.0,0.6825784095624822
S03843,1,train,0.0,0.6486470732339241
S03866,1,train,0.0,0.16035961685041908
S03938,1,train,0.0,0.49738893482721164
S03990,1,train,0.0,0.0370017472898261
S04020,1,train,0.0,0.761992239703364
S04080,1,train,0.0,0.8382469770575861
S04088,1,train,0.0,0.4665469050740036
S04152,1,train,0.0,0.3055392669265859
S04178,1,train,0.0,0.37104821768634066
S04273,1,train,0.0,0.38927318980268455
S04377,1,train,0.0,0.37391442309466494
S04421,1,train,0.0,0.17730474889267958
S04425,1,train,0.0,0.6921549081190879
S04443,1,train,0.0,0.6279077522907001
S04457,1,train,0.0,0.5607016789596949
S04516,1,train,0.0,0.36289805236536277
S04521,1,train,0.0,0.5449268595414775
S04583,1,train,0.0,0.7172271116940323
S04615,1,train,0.0,0.28435014524038194
S04658,1,train,0.0034283191578889,0.6247956174787468
S04688,1,train,0.0,0.33797057407146325
S04727,1,train,0.0,0.501735250509971
S04730,1,train,0.0,0.43675077002701057
S04776,1,train,0.0,0.3836583536268693
S04791,1,train,0.0,0.9104839951561917
S04805,1,train,0.0,0.3350915190030785
S04813,1,train,0.0,0.6635936692002762
S04883,1,train,0.0,0.2393943089488972
S04893,1,train,0.0,0.6906467190930649
S04904,1,train,0.0,0.3152702528315702
S04915,1,train,0.0,0.5453265563423197
S04936,1,train,0.0,0.7100826611855822
S04968,1,train,0.0,0.8702532851836322
S04971,1,train,0.0,0.40937024733348587
S04989,1,train,0.0,0.29205758289958267
S05019,1,train,0.0,0.2580981527964591
S05075,1,train,0.0034852979333655,0.2478894444579983
S05088,1,train,0.0,0.10813267120122212
S05120,1,train,0.0,0.5620620801792096
S05124,1,train,0.0,0.3896238157294642
S05152,1,train,0.0,0.7490829076007962
S05158,1,train,0.0,0.46694484765769567
S05191,1,train,0.0,0.5887362603023112
S05210,1,train,0.0,0.291283185548185
S05269,1,train,0.0,0.7209977620723987
S05287,1,train,0.0,0.6401589802507913
S05293,1,train,0.0,0.49356347766535635
S05340,1,train,0.010195290063182,0.1480820000128772
S05380,1,train,0.0,0.41539648546748825
S05488,1,train,0.0,0.4813898240731408
S05552,1,train,0.0034483715637705,0.061679619873702754
S05560,1,train,0.0069424073530849,0.9352242844386451
S05618,1,train,0.0051030361524955,0.2856445323264878
S05629,1,train,0.0,0.8101504673962586
S05632,1,train,0.0,0.9027214265222454
S05645,1,train,0.0383807493899237,0.6231359790219521
S05681,1,train,0.0069270947666983,0.46987838471722526
S05682,1,train,0.0,0.7783974186946637
S05707,1,train,0.0017111673466577,0.8454698603017585
S05733,1,train,0.0,0.6918356424431442
S05739,1,train,0.0,0.5091654617596291
S05746,1,train,0.0086874746542489,0.15491100342947658
S05750,1,train,0.0104721970542995,0.5587607529006648
S05757,1,train,0.0017240781212058,0.2512043236526359
S05781,1,train,0.0,0.42289766499751
S05785,1,train,0.0017600895272902,0.6638919544021403
S05819,1,train,0.0085040124565816,0.22593198807548576
S05866,1,train,0.0,0.6475455518047706
S05892,1,train,0.0,0.8100310122078103
S05914,1,train,0.0,0.7271097617302971
S05936,1,train,0.0,0.7136721149832398
S05990,1,train,0.0,0.4267979173654505
S05998,1,train,0.0,0.13481781120804767
S06049,1,train,0.0,0.5182736856159071
S06052,1,train,0.0,0.44909784451794793
S06062,1,train,0.0,0.427871709830434
S06082,1,train,0.0,0.2017786279235798
S06091,1,train,0.0,0.5027032573135678
S06151,1,train,0.0015301959697655,0.11029253019847574
S06201,1,train,0.0106604646602072,0.30789626770155376
S06237,1,train,0.0045106776907508,0.7484797839305664
S06259,1,train,0.0061573532053545,0.4239167436636194
S06263,1,train,0.0061002178649237,0.5245897164956485
S06270,1,train,0.0135600927652221,0.40174746474564205
S06324,1,train,0.0015286992522599,0.23869988109172285
S06360,1,train,0.0045436676631652,0.9131443906035847
S06406,1,train,0.001555833122028,0.24255488415809617
S06416,1,train,0.0,0.3253915397592534
S06431,1,train,0.0091889843121666,0.44113532896219154
S06483,1,train,0.0,0.8133042495233922
S06490,1,train,0.0015050754657557,0.7525779180135291
S06493,1,train,0.0107002036083584,0.3767208749000649
S06616,1,train,0.0,0.2736680903889401
S06619,1,train,0.0062135291157597,0.47710994411486374
S06718,1,train,0.0,0.06262509068109606
S06834,1,train,0.0069155523397386,0.41927370472793646
S06839,1,train,0.0,0.4077388592377509
S06841,1,train,0.002249713693378,0.7137747949695458
S06905,1,train,0.0,0.8741010861143854
S06917,1,train,0.0,0.3225511719926781
S06938,1,train,0.0,0.8253707188422905
S06972,1,train,0.0,0.3578431640719218
S06993,1,train,0.0,0.7782494023612255
