ufs_serial,position,split,health,clf_proba_mean,lds_weight
S09870,1,train,0.0039045007816857,0.37633897140057315,0.726255628679553
S09947,1,train,0.0066913316961785,0.3664391876508841,0.6998170915617361
S09993,1,train,0.0077240478984217,0.3671252615219495,0.7010193147702969
S10025,1,train,0.0039891802515511,0.37594251100740417,0.7247757712254419
S10030,1,train,0.003916377075404,0.40066738412337194,0.7260453606818786
S10096,1,train,0.0,0.28319593263086257,1.0
S10111,1,train,0.003851578604752,0.4041670322566559,0.7272034284531759
S10203,1,train,0.0272056178545175,0.18866958873428494,2.7254644111032613
S10291,1,train,0.0,0.3343857459140039,1.0
S10304,1,train,0.0,0.3926541898663103,1.0
S10375,1,train,0.0,0.24305874693172425,1.0
S10391,1,train,0.0,0.3063573470833955,1.0
S10426,1,train,0.0,0.38196174590842347,1.0
S10427,1,train,0.0,0.2538938983098823,1.0
S10470,1,train,0.0,0.5242193903206657,1.0
S10490,1,train,0.0,0.4978601269424657,1.0
S10495,1,train,0.0,0.5172074291721405,1.0
S10500,1,train,0.0,0.38130217458710014,1.0
S10509,1,train,0.0,0.2760528536932591,1.0
S10539,1,train,0.0,0.2184514816937334,1.0
S10541,1,train,0.0,0.2907860404022627,1.0
S10633,1,train,0.0,0.5186721764275002,1.0
S10718,1,train,0.0,0.1093754496109028,1.0
S10723,1,train,0.0,0.42955719575018964,1.0
S10742,1,train,0.0,0.17214839683292182,1.0
S10778,1,train,0.0,0.3401408362599645,1.0
S10792,1,train,0.0305643018793663,0.45437368699286146,4.176877120175212
S10848,1,train,0.0074152984918745,0.2822752925947966,0.7000571159917102
S10877,1,train,0.0057861173929873,0.2435618300231223,0.7035401981158587
S10879,1,train,0.0,0.31267622147964974,1.0
S10882,1,train,0.0,0.16456530533040778,1.0
S10902,1,train,0.021417995672075,0.3688507211897652,1.451745841154842
S10913,1,train,0.0123672218852548,0.4021556973494427,0.779595024754251
S10956,1,train,0.021171085816856,0.5576691808250415,1.4182786554058744
S10957,1,train,0.0173087052862074,0.23942899807076815,1.028785240655068
S10977,1,train,0.014310847737763,0.28820654080920366,0.8529675966858298
S10996,1,train,0.0162414509465231,0.511461452129432,0.9561232142003854
S10997,1,train,0.0116597693383256,0.32246126552803056,0.7593823774547928
