feature,lgbm_gain,et_impurity,enet_abs_coef,lgbm_weak,et_weak,enet_zero
X790,0.0,0.001651944374260373,0.0,False,False,True
X791,0.0,0.0013091611750032344,0.0,False,False,True
X792,0.0,0.001036705767221372,0.0,False,False,True
X793,0.0,0.0012622388622627809,4.8814524221467434e-05,False,False,False
X794,0.0,0.0011619947403948192,0.0,False,False,True
X795,0.0,0.0011247426440103092,0.0,False,False,True
X796,0.0,0.0010030209423242484,0.0,False,False,True
X797,0.0,0.0011923147596304478,0.0,False,False,True
X798,0.0,0.0012496420247465987,7.19906354384487e-05,False,False,False
X799,0.0,0.0013070653690505083,7.769291480769373e-07,False,False,False
X800,0.0,0.0013524052893816266,0.00017536608921434673,False,False,False
X801,0.0,0.0013163547988668542,0.0001243700279855102,False,False,False
X802,0.0,0.0013667216429147822,0.0,False,False,True
X803,0.0,0.0010131048446991807,0.0,False,False,True
X804,0.0,0.0010336341902078146,0.0,False,False,True
X805,0.0,0.0007714261562737363,0.0,False,False,True
X806,0.0,0.0014140076886377784,0.0,False,False,True
X807,0.0,0.0012326893836324133,0.0,False,False,True
X808,0.0,0.000929963619028844,0.0,False,False,True
X809,0.0,0.0009836997249866126,0.0,False,False,True
X810,0.0,0.001010036300169395,0.0,False,False,True
X811,0.0,0.0012221635276451603,0.0,False,False,True
X812,0.0,0.001706002570390293,0.0,False,False,True
X813,0.0,0.0019580493163419005,0.00010481069004757788,False,False,False
X814,0.0,0.0017794292017741494,6.110043540883501e-05,False,False,False
X815,0.0,0.0033798374588236762,0.00010785322685809149,False,False,False
X816,0.0,0.0017347021556181157,0.0,False,False,True
X817,0.0,0.0032323875420009426,2.1103575542588724e-05,False,False,False
X818,0.0,0.0013789421610731702,0.0,False,False,True
X819,0.0,0.0019633635785337306,0.0003070788325735134,False,False,False
X820,0.0,0.0016359268555151889,0.00011893767034589963,False,False,False
X821,0.0,0.0008516078633055624,0.0,False,False,True
X822,0.0,0.0011517396182320258,0.0,False,False,True
X823,0.0,0.001857332091143395,4.4121245838859706e-05,False,False,False
X824,0.0,0.001030835574728621,0.0,False,False,True
X825,0.0,0.0011684550614223372,0.0,False,False,True
X826,0.0,0.0059629156099797985,0.00011698814496527782,False,False,False
X828,0.0,0.0012647926181314096,0.0,False,False,True
X829,0.0,0.0006019316900926474,0.0,False,False,True
X830,0.0,0.005865239757597194,0.0,False,False,True
X831,0.0,0.003451833737383769,0.0,False,False,True
X832,0.0,0.011004168539169332,0.0002056334990309553,False,False,False
X833,0.0,0.001927405839335922,0.0,False,False,True
X834,0.0,0.002598246718140955,0.0,False,False,True
X835,0.0,0.008247291039531174,0.00038184585449285984,False,False,False
X836,0.0,0.001262674777984547,0.00030181480819828685,False,False,False
X837,0.0,0.001105356988679367,0.0,False,False,True
X838,0.0,0.0008593843897448487,0.0,False,False,True
X839,0.0,0.0009249781514922466,0.0,False,False,True
X840,0.0,0.0012936063913275774,0.0,False,False,True
X841,0.0,0.0013996842648082758,0.00014260804082941506,False,False,False
X842,0.0,0.0020411314541990497,0.0,False,False,True
X843,0.0,0.0023775265369828484,0.0,False,False,True
X844,0.0,0.0012755653366733834,0.00013575826402761288,False,False,False
X845,0.0,0.0006610070130097397,0.0,False,False,True
X846,0.0,0.0007181503650444528,0.0,False,False,True
X847,0.0,0.0006106200915484298,0.0,False,False,True
X848,0.0,0.0011228945350545234,0.0,False,False,True
X849,0.0,0.0009409764100744371,0.0,False,False,True
X850,0.0,0.000776513306656559,0.0,False,False,True
X851,0.0,0.0008263129563959768,0.0,False,False,True
X852,0.0,0.0008667002177627632,0.0,False,False,True
X853,0.0,0.000977011326886916,1.6178335824596057e-05,False,False,False
X854,0.0,0.0011274949324837774,0.0,False,False,True
X855,0.0,0.002495743315426668,0.0,False,False,True
X856,0.0,0.0017000929104667832,0.0,False,False,True
X857,0.0,0.0013001557267553628,0.0,False,False,True
X860,0.0,0.0011075254773894791,0.0,False,False,True
X862,0.0,0.0021821527042271863,0.000339988454696322,False,False,False
X863,0.0,0.0013050605224493256,0.0,False,False,True
X865,0.0,0.001010344999353551,0.0,False,False,True
X867,0.0,0.001287807137372964,0.0,False,False,True
X868,0.0,0.0013689354748782935,0.0,False,False,True
X870,0.0,0.000827527335115604,0.0,False,False,True
X873,0.0,0.0006959494152340448,4.133861164290932e-06,False,False,False
X874,0.0,0.0017056971355445274,0.0,False,False,True
X875,0.0,0.000959228192193825,0.0,False,False,True
X877,0.0,0.0015736296039769728,0.0,False,False,True
X878,0.0,0.0006213590945456635,0.0,False,False,True
X880,0.0,0.0013882831527863672,0.0,False,False,True
X881,0.0,0.003279489105794823,0.00012647087735616848,False,False,False
X882,0.0,0.0017724916912605615,0.0002104725765549139,False,False,False
X883,0.0,0.0015863942912101745,0.0,False,False,True
X884,0.0,0.002104776419744359,0.0,False,False,True
X885,0.0,0.0010761938211623391,0.0,False,False,True
X886,0.0,0.0007448211277309916,0.0,False,False,True
X887,0.0,0.001471528725068525,0.00024480541926788914,False,False,False
X888,0.0,0.0006615577061163107,0.0,False,False,True
