ufs_serial,position,split,health,reg_pred_die
S08305,1,train,0.0092962139438533,0.0029224196598262183
S08306,1,train,0.0119595924594408,0.002552673046970569
S08331,1,train,0.0092094596159636,0.0021041995044000046
S08349,1,train,0.0,0.0018502741955562596
S08407,1,train,0.0134677397501558,0.0019101724928017256
S08420,1,train,0.0139177675564796,0.0028318177480124917
S08430,1,train,0.0011900400590949,0.0024329418999651914
S08477,1,train,0.0176811697321142,0.0033319377739456173
S08495,1,train,0.0,0.0021288259586552762
S08520,1,train,0.0023382568459879,0.0026583029001229614
S08531,1,train,0.0,0.0032288770508482247
S08541,1,train,0.0248973048792706,0.0026662583472209533
S08542,1,train,0.0113113160955248,0.0015587528304432585
S08553,1,train,0.0123678828682086,0.0024720161546786224
S08579,1,train,0.0023075440905745,0.001313666778306543
S08617,1,train,0.0283657584772667,0.0033657401727836393
S08663,1,train,0.0134175643206176,0.0033883403928810065
S08671,1,train,0.0,0.0015268125363936552
S08691,1,train,0.0,0.0022397467895212625
S08715,1,train,0.0,0.0015867725128223594
S08720,1,train,0.0,0.0019289073701426458
S08721,1,train,0.0,0.0012368772592024038
S08726,1,train,0.0,0.0022833787600050944
S08728,1,train,0.0069235484230469,0.0021112584668700005
S08733,1,train,0.0,0.0014586012884638074
S08802,1,train,0.0,0.0023985206464302565
S08807,1,train,0.0,0.0025551279690920327
S08879,1,train,0.0,0.002477287235961391
S08938,1,train,0.0,0.002872220133642168
S08973,1,train,0.0,0.002484415581548426
S09003,1,train,0.0,0.0016979438417516843
S09025,1,train,0.0,0.0013719859187925668
S09053,1,train,0.0,0.0009632801953298719
S09143,1,train,0.0,0.0017645391613194028
S09225,1,train,0.0,0.0018704907230869734
S09228,1,train,0.0,0.0029286645366764143
S09230,1,train,0.0,0.002950540096046034
S09250,1,train,0.0,0.0022729177401857015
S09270,1,train,0.0,0.00309933261547197
S09308,1,train,0.0,0.002885065917434915
S09313,1,train,0.0,0.0022188707465889126
S09422,1,train,0.0,0.003455794583682534
S09486,1,train,0.0,0.0016911653351382005
S09507,1,train,0.0,0.0024322369444807787
S09521,1,train,0.0,0.0019029410442823525
S09566,1,train,0.0,0.002106532330885648
S09567,1,train,0.0,0.001958710740344935
S09569,1,train,0.0,0.0025070015375041337
S09608,1,train,0.0,0.001505161915239799
S09635,1,train,0.0,0.0021393219140855243
S09668,1,train,0.0,0.002473888211737008
S09669,1,train,0.0,0.001488920178661988
S09697,1,train,0.0,0.0007689831101472705
S09736,1,train,0.0,0.002328822566592704
S09870,1,train,0.0039045007816857,0.002315880303162087
S09947,1,train,0.0066913316961785,0.0025224564269114257
S09993,1,train,0.0077240478984217,0.0023676495744744635
S10025,1,train,0.0039891802515511,0.0024790071928020288
S10030,1,train,0.003916377075404,0.0024655902617726658
S10096,1,train,0.0,0.0019494350615700885
S10111,1,train,0.003851578604752,0.0026065378829341766
S10203,1,train,0.0272056178545175,0.0012441084842519483
S10291,1,train,0.0,0.002057712385561419
S10304,1,train,0.0,0.0027029125654693988
S10375,1,train,0.0,0.0015675247635085086
S10391,1,train,0.0,0.0020201547969458753
S10426,1,train,0.0,0.00235048121808565
S10427,1,train,0.0,0.0017477287286083562
S10470,1,train,0.0,0.00338077475594738
S10490,1,train,0.0,0.003282945662070646
S10495,1,train,0.0,0.0031827437201393067
S10500,1,train,0.0,0.0026247687291537218
S10509,1,train,0.0,0.0017803090391267705
