,zit_only,bag_zit_combined_best,bag_zit_combined_best_xy,bag_zit_pp_hpo,bag_zit_hpo,bag_zit_fixed_ge,reg__lgbm,reg__enet,reg__et,reg__catboost,grid__catboost_x_catboost,grid__catboost_x_enet,grid__catboost_x_et,grid__catboost_x_xgb,grid__et_x_catboost,grid__et_x_enet,grid__et_x_et,grid__et_x_xgb,grid__lgbm_x_catboost,grid__lgbm_x_enet,grid__lgbm_x_et,grid__lgbm_x_xgb,grid__xgb_x_catboost,grid__xgb_x_enet,grid__xgb_x_et,grid__xgb_x_xgb,nn_ft
grid__et_x_catboost,0.9927328944214555,0.9934682558367064,0.9934252642097505,0.9942952053822799,0.9948408643994285,0.9904006730719503,0.9959117228883322,0.9959271076034987,0.9972554274011121,0.9955200760650728,0.991929750845202,0.9835785619344674,0.9837596989702341,0.9911457782857984,1.0,0.9968973922452233,0.9970711886507538,0.9980820875581603,0.9898099236581057,0.9811946432131547,0.9813121414016754,0.9894984927240051,0.990588501830279,0.9819614810188934,0.9820969795167697,0.9900495109781607,0.985469566922333
grid__et_x_enet,0.995984819294359,0.9965011828720932,0.9964615085849297,0.9973801371208356,0.9977219971338884,0.9929552919272315,0.9980022312765356,0.9983884271195484,0.9996696575026425,0.9973111707094954,0.991150646268058,0.9875540643221444,0.987490113800239,0.9926776758579631,0.9968973922452233,1.0,0.9998726709716557,0.9984368344690236,0.9898582774453343,0.9848481730120918,0.9847847774968178,0.9912755970798461,0.9902578892765039,0.9857847265726057,0.9857153431833112,0.9917478303633352,0.987470349459912
grid__et_x_et,0.9961187489219256,0.9966098810636148,0.9965678603364979,0.9974873910896606,0.9978137313909554,0.9931115360825857,0.9981609603090988,0.9983864404698733,0.9998115192430821,0.9974815904193023,0.991321321257697,0.9874861966621467,0.9875961440149174,0.9928221850410734,0.9970711886507538,0.9998726709716557,1.0,0.9986101977687472,0.9900210134094695,0.9848386903777366,0.9849053689606397,0.9914121966111892,0.9904247197321213,0.9857565322043842,0.9858356724057821,0.99189416069167,0.987500529133346
grid__et_x_xgb,0.9943499628771015,0.9949918608017724,0.9949562514422479,0.9959105865872654,0.9963842702120629,0.9919054268303651,0.9972049238142657,0.9972936693398158,0.9986152213946874,0.9967100370178933,0.9912813585427461,0.9853261226882455,0.98547873473928,0.9930415268151932,0.9980820875581603,0.9984368344690236,0.9986101977687472,1.0,0.9895661206658531,0.9827162308247531,0.9828087890260482,0.9911416952349831,0.9901691837856843,0.983656249539064,0.9837720330800295,0.9918739922467578,0.9870320400106706
grid__lgbm_x_catboost,0.9919352266680109,0.9934637273539949,0.9934589289147229,0.9926229808860939,0.9920452043611006,0.9913884370133486,0.992524771615524,0.9888919054171843,0.9902901227750972,0.9924764031307387,0.9935271131630085,0.9901242219621157,0.9902650456725623,0.9930538826309538,0.9898099236581057,0.9898582774453343,0.9900210134094695,0.9895661206658531,1.0,0.9974208837444521,0.9975345660474298,0.9990507572949765,0.9924959743409695,0.9886056279900628,0.9887072723162023,0.9921702656176851,0.9762733321457018
grid__lgbm_x_enet,0.9892186176641166,0.9906999005292989,0.9907046062885186,0.9893937087423156,0.9883497331830344,0.9887918304108517,0.9883418284845233,0.9835048899407883,0.9848817683823023,0.9883037734590104,0.9889929661804377,0.9900744585999006,0.9900492378333899,0.9899195503214004,0.9811946432131547,0.9848481730120918,0.9848386903777366,0.9827162308247531,0.9974208837444521,1.0,0.999937980596196,0.9979475910019431,0.9881546468319249,0.9884169640355718,0.9883688290548831,0.9890810114245782,0.9694328204594215
grid__lgbm_x_et,0.9892654574590019,0.9907470919625735,0.990750570148189,0.9894360710665127,0.9883797028605187,0.9888477400609913,0.9884253400424629,0.9835059569851018,0.9849619714197375,0.9883935599984559,0.9890831631211133,0.9899966008403441,0.9900863262196979,0.9899899344570677,0.9813121414016754,0.9847847774968178,0.9849053689606397,0.9828087890260482,0.9975345660474298,0.999937980596196,1.0,0.9980313733901202,0.9882539020339965,0.9883678824308318,0.9884225670111213,0.9891594404700064,0.9694510979116476
grid__lgbm_x_xgb,0.9930524383720669,0.9945338090144304,0.9945325983050132,0.9937956404619789,0.9932502202101098,0.9923999997080369,0.9935876617628402,0.9902502901327976,0.9915862838270334,0.9934467852274799,0.9929977140606474,0.9909992394607221,0.9911171878665156,0.9942225790489355,0.9894984927240051,0.9912755970798461,0.9914121966111892,0.9911416952349831,0.9990507572949765,0.9979475910019431,0.9980313733901202,1.0,0.9920921980785133,0.9894562491827379,0.9895376738183612,0.9933086785772745,0.977883480970439
grid__xgb_x_catboost,0.99269950473561,0.9937513003820558,0.9937443855473524,0.9931994728634275,0.9926730425906846,0.9918493061982131,0.9929918153021132,0.9891893724472244,0.990592262564039,0.9929937168974788,0.9937361879200858,0.9899530464084437,0.9901014965717653,0.9931219821848574,0.990588501830279,0.9902578892765039,0.9904247197321213,0.9901691837856843,0.9924959743409695,0.9881546468319249,0.9882539020339965,0.9920921980785133,1.0,0.9971661238275532,0.9972914481347421,0.9988564737569495,0.9762615080160272
grid__xgb_x_enet,0.9906168068783914,0.9914779193332065,0.9914836970212352,0.990548824793229,0.9895613287119428,0.9897235766225042,0.989235374138173,0.9842701418854004,0.9856327565220373,0.9892314935184234,0.989275503488501,0.9903264807990537,0.9902870301465189,0.9902894946511749,0.9819614810188934,0.9857847265726057,0.9857565322043842,0.983656249539064,0.9886056279900628,0.9884169640355718,0.9883678824308318,0.9894562491827379,0.9971661238275532,1.0,0.9999276735410491,0.9978431713193384,0.9698336181992108
grid__xgb_x_et,0.9906775151493815,0.9915356948666986,0.9915390617092972,0.9906036257033427,0.9896032460243274,0.9897907412248047,0.9893360195958651,0.9842788076101757,0.9857273622165919,0.98934215580528,0.9893864341979733,0.9902454619471134,0.9903340681830965,0.9903780475371411,0.9820969795167697,0.9857153431833112,0.9858356724057821,0.9837720330800295,0.9887072723162023,0.9883688290548831,0.9884225670111213,0.9895376738183612,0.9972914481347421,0.9999276735410491,1.0,0.9979478342171095,0.9698559203109739
grid__xgb_x_xgb,0.9939133854901969,0.9949217719257467,0.9949175381719685,0.9944688304673948,0.9939710748416991,0.992963448894887,0.994126324046429,0.9906200335291241,0.9919498486005118,0.9940345931113828,0.9931546938960955,0.9910039359924658,0.9911270748663173,0.9944739254947086,0.9900495109781607,0.9917478303633352,0.99189416069167,0.9918739922467578,0.9921702656176851,0.9890810114245782,0.9891594404700064,0.9933086785772745,0.9988564737569495,0.9978431713193384,0.9979478342171095,1.0,0.9779485725470036
nn_ft,0.9810491018163284,0.982403079465792,0.9823549426878604,0.9833988985948685,0.9842819381762478,0.9785211987065647,0.9839291886837367,0.9866164645229777,0.9876741671008405,0.9829067933173583,0.9767736217754582,0.9710992027695042,0.9711402714151366,0.9784920004728185,0.985469566922333,0.987470349459912,0.987500529133346,0.9870320400106706,0.9762733321457018,0.9694328204594215,0.9694510979116476,0.977883480970439,0.9762615080160272,0.9698336181992108,0.9698559203109739,0.9779485725470036,1.0
