ufs_serial,run_wf_xy,position,pi,one_minus_pi,mu,pred,pred_clipped,health
S00079,0000012_4_27_19,1,0.1340447913578716,0.8659552086421284,0.0009756392585851378,0.0008448598977275444,0.0008448598977275444,0.0
S00080,0000012_10_34_31,1,0.24901194579194402,0.750988054208056,0.0008000019709270953,0.0006007919235091491,0.0006007919235091491,0.0024551575598599
S00081,0000012_5_31_25,1,0.13662115458922455,0.8633788454107755,0.0008631985039947262,0.0007452673277392754,0.0007452673277392754,0.0048692551117381
S00084,0000004_21_17_18,1,0.11474475524398985,0.8852552447560101,0.0009841317934025896,0.0008712078316407807,0.0008712078316407807,0.0
S00086,0000004_20_42_12,1,0.16716591385942658,0.8328340861405734,0.0010457769148632479,0.0008709586611970413,0.0008709586611970413,0.0
S00087,0000005_13_32_29,1,0.12406596633786558,0.8759340336621344,0.000929348321418288,0.0008140478238570548,0.0008140478238570548,0.0071833265884257
S00092,0000003_22_33_16,1,0.18136921909815087,0.8186307809018492,0.0008866525074082253,0.000725841034528178,0.000725841034528178,0.0
S00096,0000004_19_42_16,1,0.16975489737321212,0.8302451026267879,0.0008998804549453018,0.0007471213406679026,0.0007471213406679026,0.0
S00098,0000004_9_61_16,1,0.18357115047688033,0.8164288495231197,0.0009568845319195904,0.0007812281375215801,0.0007812281375215801,0.0
S00099,0000005_7_33_16,1,0.15334237679672835,0.8466576232032716,0.0008500185905375328,0.0007196747195431025,0.0007196747195431025,0.002429023161249
S00101,0000005_12_36_19,1,0.4730057256568631,0.5269942743431368,0.0009296540900194523,0.0004899223825599305,0.0004899223825599305,0.0047811447811447
S00103,0000003_18_48_19,1,0.37378799319616723,0.6262120068038328,0.0009912831006633738,0.0006207533797771372,0.0006207533797771372,0.0023947190902958
S00106,0000005_18_38_23,1,0.1129608411536401,0.8870391588463599,0.0009912078993527314,0.0008792402212837142,0.0008792402212837142,0.0
S00108,0000005_10_54_18,1,0.16998593330034198,0.830014066699658,0.0012968860625720627,0.001076433674841545,0.001076433674841545,0.0
S00109,0000006_11_43_18,1,0.4161330601995136,0.5838669398004863,0.0011307435489877264,0.0006602037756466052,0.0006602037756466052,0.0024466006035276
S00111,0000005_10_55_15,1,0.11973179654523959,0.8802682034547604,0.0009881645835619216,0.0008698498626896742,0.0008698498626896742,0.0
S00113,0000005_11_51_20,1,0.13468610931701394,0.865313890682986,0.0008810699449183601,0.0007624020620011503,0.0007624020620011503,0.0
S00114,0000004_25_46_27,1,0.27843077548118583,0.7215692245188141,0.0008196159847944894,0.0005914096705513838,0.0005914096705513838,0.0
S00116,0000006_5_51_22,1,0.1440985139313454,0.8559014860686546,0.0009093129527014228,0.0007782823075186239,0.0007782823075186239,0.0
S00120,0000006_16_30_16,1,0.1703761410690747,0.8296238589309253,0.0009015962112674304,0.0007479857279891873,0.0007479857279891873,0.0
S00121,0000005_17_50_27,1,0.12939346497687276,0.8706065350231272,0.0009760600440014175,0.0008497642528825952,0.0008497642528825952,0.0
S00122,0000006_16_18_16,1,0.26779027786342996,0.73220972213657,0.0014240444335006242,0.0010426991789636213,0.0010426991789636213,0.0
S00123,0000006_24_29_23,1,0.1858144254798449,0.8141855745201552,0.0009461708769315802,0.0007703586790287776,0.0007703586790287776,0.0120079634300735
S00124,0000005_17_31_19,1,0.1319833862638144,0.8680166137361855,0.0009807294039785015,0.0008512894162329265,0.0008512894162329265,0.0
S00126,0000017_6_56_26,1,0.21023062057430478,0.7897693794256953,0.0009268725900780508,0.000732015590272629,0.000732015590272629,0.0145181549966406
S00127,0000017_11_44_20,1,0.34298582559085433,0.6570141744091457,0.0008928892929237622,0.0005866409216290715,0.0005866409216290715,0.0
S00128,0000017_19_43_26,1,0.20236822954865133,0.7976317704513487,0.0008356436960020482,0.0006665359607086222,0.0006665359607086222,0.0023878847281078
S00129,0000017_24_13_21,1,0.3418322964356848,0.6581677035643152,0.000986759103838311,0.0006494529733444428,0.0006494529733444428,0.0071621056878935
S00130,0000017_9_33_16,1,0.20963527997111459,0.7903647200288855,0.0008563073458573422,0.0006767951156672163,0.0006767951156672163,0.0048756321399316
