ufs_serial,run_wf_xy,prob,health
S00621,0000024_10_37_17,0.8558333072903523,0.0
S00624,0000024_7_56_21,0.9673333683928177,0.0
S00626,0000024_24_60_18,0.22795544470774803,0.0
S00629,0000024_9_36_27,0.46504428467784886,0.0
S00630,0000024_23_49_28,0.6983355085411851,0.0
S00632,0000002_22_58_14,0.31855720833330214,0.0
S00634,0000006_23_49_29,0.2093253867204926,0.0
S00635,0000006_17_30_21,0.17970395940524003,0.0
S00636,0000002_6_52_17,0.005592379352952598,0.0
S00637,0000002_8_48_20,0.08347577476549255,0.0
S00638,0000023_15_50_28,0.008044373080214334,0.0
S00639,0000023_7_19_16,0.043485199676629796,0.0
S00640,0000023_7_53_19,0.4481567383717677,0.0
S00642,0000000_18_49_16,0.00026677851123690065,0.0
S00643,0000000_19_63_21,0.015555281752671872,0.0
S00644,0000000_18_15_22,0.003883892513015667,0.0
S00645,0000000_18_50_15,0.003963976872817799,0.0
S00646,0000000_18_41_15,0.0006074767904473845,0.0
S00647,0000000_24_28_24,0.0012988021029066844,0.0
S00648,0000000_23_34_26,0.00018883753647684517,0.0
S00651,0000000_1_19_18,0.004725519949825982,0.0
S00654,0000000_11_33_13,0.00961671990386862,0.0
S00656,0000000_13_27_30,1.8497883806988267e-05,0.0
S00657,0000000_8_41_29,0.00060026930461742,0.0
S00658,0000000_10_54_23,0.003944915343053881,0.0
S00660,0000027_21_23_27,0.006409283471333513,0.0
S00661,0000015_1_32_29,0.01187335189160281,0.0
S00662,0000027_25_37_22,0.08916559630170391,0.0
S00664,0000027_23_34_13,0.002283886295077323,0.0
S00666,0000027_4_56_23,0.07357012482862457,0.0
S00667,0000027_8_46_30,0.0077548746996247715,0.0
S00668,0000027_5_34_31,0.0546726879263717,0.0
S00670,0000027_10_43_22,0.02147535135005935,0.0
S00671,0000027_5_34_16,0.010781057484983187,0.0
S00673,0000027_14_18_25,0.4708458246875542,0.0
S00676,0000025_8_43_23,0.020931733327158853,0.0
S00677,0000025_8_49_17,0.09030004604988244,0.0
S00679,0000016_18_52_25,0.8228174373151624,0.0
S00683,0000016_24_17_17,0.949074809074986,0.0
S00685,0000024_24_37_32,0.23909942140977616,0.0
S00686,0000022_9_33_21,0.042657218844750204,0.0
S00687,0000022_7_44_16,0.10626776906659138,0.0
S00689,0000020_1_45_26,0.49117415091571665,0.0
S00690,0000020_16_39_19,0.019392349402891546,0.0
