run_id,wafer_no,total_dies,risk_dies,avg_ppm,total_units,risk_units
32,22,96,5,760.5,24,6
32,23,92,31,787.4,23,7
32,25,96,41,777.0,24,5
33,2,80,1,809.0,20,6
33,3,84,6,816.3,21,14
33,4,72,33,831.4,18,11
33,5,136,105,836.2,34,11
33,7,100,0,757.0,25,0
33,8,92,0,799.6,23,9
33,9,76,1,813.3,19,8
33,10,76,25,819.9,19,8
33,11,68,0,815.8,17,7
33,14,116,4,816.9,29,15
33,15,88,15,815.1,22,5
33,16,100,0,782.2,25,0
33,19,112,0,796.4,28,2
33,20,56,0,725.1,14,0
33,21,88,0,788.7,22,1
33,22,108,0,724.9,27,0
33,23,144,0,732.8,36,0
33,25,88,23,825.6,22,11
34,6,72,8,804.7,18,11
34,7,92,0,750.0,23,2
34,10,92,40,839.9,23,11
34,11,96,22,805.3,24,13
34,12,72,2,761.7,18,0
34,13,92,43,837.8,23,13
34,17,84,15,813.4,21,9
34,18,96,41,835.6,24,13
34,19,68,11,779.8,17,5
34,20,52,0,788.0,13,5
34,21,96,25,811.2,24,13
34,22,64,0,724.8,16,0
35,1,60,2,820.1,15,9
35,3,68,0,770.3,17,3
35,4,92,0,712.1,23,0
35,5,68,4,801.5,17,6
35,10,108,21,825.3,27,14
35,11,112,0,789.6,28,2
35,16,64,0,746.7,16,0
35,17,64,0,714.4,16,0
35,21,112,5,796.6,28,6
35,22,96,0,694.4,24,0
35,23,84,19,819.4,21,12
35,24,80,1,776.6,20,6
36,1,68,0,623.3,17,0
36,2,92,74,857.2,23,2
36,3,88,55,855.3,22,8
36,4,92,70,863.5,23,6
36,5,60,37,849.3,15,3
36,6,116,94,864.6,29,5
36,8,80,70,868.5,20,1
36,9,52,41,864.8,13,2
36,10,76,60,864.2,19,5
36,11,84,57,858.6,21,5
36,12,72,28,817.0,18,4
36,13,72,61,864.8,18,2
36,14,88,63,861.1,22,3
36,15,96,46,842.5,24,11
36,16,40,19,836.3,10,5
36,17,96,52,844.0,24,6
36,18,76,44,848.8,19,10
36,19,92,42,837.3,23,7
36,20,100,37,834.1,25,12
36,21,84,9,795.5,21,6
36,23,64,41,856.0,16,5
36,25,112,95,864.9,28,1
37,2,76,0,726.2,19,0
37,3,72,0,726.6,18,0
37,4,88,0,690.3,22,0
37,5,104,0,426.5,26,0
37,6,64,0,720.3,16,0
37,9,64,0,597.6,16,0
37,11,84,0,769.9,21,0
37,12,68,0,761.1,17,0
37,14,80,0,700.4,20,0
37,15,72,0,692.9,18,0
37,21,88,0,683.1,22,0
37,22,100,0,705.6,25,0
37,24,92,0,700.9,23,0
38,1,76,0,522.3,19,0
38,2,72,0,620.1,18,0
38,3,84,0,532.7,21,0
38,4,68,0,588.9,17,0
38,5,100,0,725.4,25,0
38,6,72,0,339.1,18,0
38,7,52,0,473.3,13,0
38,8,76,0,734.9,19,0
38,9,80,0,694.2,20,0
38,10,80,0,371.9,20,0
38,11,92,0,630.1,23,0
38,13,100,2,772.8,25,10
38,14,100,0,537.3,25,0
38,16,124,0,749.7,31,0
38,17,96,0,455.3,24,0
38,18,84,0,711.1,21,0
38,19,100,0,423.8,25,0
38,20,76,0,682.5,19,0
38,21,76,0,737.0,19,0
38,23,84,0,266.7,21,0
38,24,96,0,415.7,24,0
38,25,80,0,685.0,20,0
39,3,76,0,431.3,19,0
39,4,64,0,361.7,16,0
39,5,88,0,374.9,22,0
39,6,36,0,407.6,9,0
39,7,56,0,574.0,14,0
39,9,44,0,537.8,11,0
39,10,44,0,473.0,11,0
39,11,48,0,461.4,12,0
39,12,44,0,746.2,11,0
39,13,16,0,686.1,4,0
39,15,16,2,794.7,4,2
39,16,8,0,646.6,2,0
39,17,12,0,753.0,3,0
39,18,12,0,776.7,3,0
39,19,8,0,760.9,2,0
39,21,20,0,757.1,5,0
39,22,16,0,712.3,4,0
39,24,36,0,637.2,9,0
40,10,88,2,764.8,22,2
40,12,92,29,813.3,23,2
40,14,128,0,711.5,32,0
40,17,92,0,684.7,23,0
40,18,112,0,769.2,28,1
40,19,72,0,545.5,18,0
40,20,44,0,721.8,11,0
40,21,100,0,584.7,25,0
40,22,68,0,557.3,17,0
40,23,68,0,473.5,17,0
40,24,52,0,507.8,13,0
40,25,96,0,711.9,24,0
41,2,96,9,807.9,24,13
41,4,80,0,800.2,20,2
41,5,140,1,792.8,35,6
41,6,80,0,782.2,20,0
41,8,104,0,809.8,26,8
41,10,76,6,824.3,19,13
41,11,96,0,744.1,24,0
41,15,60,0,464.4,15,0
41,16,124,0,604.1,31,0
41,17,80,0,647.5,20,0
41,18,112,0,680.5,28,0
41,20,92,0,676.5,23,0
41,21,64,0,613.8,16,0
42,1,100,17,819.4,25,12
42,2,108,21,824.1,27,18
42,4,80,1,745.1,20,0
42,5,92,33,812.9,23,7
42,6,96,0,765.6,24,2
42,7,72,3,791.2,18,5
42,8,76,1,790.2,19,5
42,10,84,8,786.0,21,5
42,12,120,0,734.3,30,0
42,13,104,3,791.7,26,5
42,14,76,0,780.8,19,0
42,16,84,0,738.1,21,0
42,17,80,0,778.5,20,0
42,18,76,0,324.3,19,0
42,19,104,0,328.9,26,0
42,20,68,0,360.1,17,0
42,22,76,0,349.8,19,0
42,23,88,0,248.1,22,0
42,24,76,0,185.7,19,0
42,25,100,0,401.1,25,0
43,2,80,0,176.1,20,0
43,3,68,0,235.6,17,0
43,4,100,0,238.7,25,0
43,6,56,0,211.1,14,0
43,8,68,0,133.7,17,0
43,9,84,0,330.1,21,0
43,10,96,0,231.7,24,0
43,11,88,0,109.4,22,0
43,12,92,1,407.0,23,0
43,14,68,0,168.2,17,0
43,15,76,0,339.1,19,0
43,16,92,0,176.3,23,0
43,17,96,0,127.5,24,0
43,18,112,0,173.5,28,0
43,20,72,0,165.0,18,0
43,21,84,0,150.3,21,0
43,22,100,0,172.7,25,0
43,23,80,0,180.1,20,0
43,24,80,0,229.2,20,0
44,1,72,0,314.2,18,0
