die_x,die_y,count,pred_mean,pred_max,pred_std,risk_count,risk_rate,ppm_mean,ppm_max,radial_dist
22,19,516,0.00062125,0.00089513,0.00028227,106,20.54,621.2,895.1,17.183
22,20,532,0.00065808,0.00091524,0.00022859,88,16.54,658.1,915.2,17.066
22,21,681,0.00063036,0.00091093,0.00023181,124,18.21,630.4,910.9,17.007
22,22,668,0.0006121,0.00090309,0.00023868,58,8.68,612.1,903.1,17.007
22,23,640,0.00063425,0.00090263,0.00024661,92,14.37,634.2,902.6,17.066
22,24,685,0.00065596,0.00091329,0.00021283,104,15.18,656.0,913.3,17.183
22,25,590,0.0006704,0.00090757,0.00022573,75,12.71,670.4,907.6,17.357
22,26,855,0.0006469,0.0009049,0.00022331,132,15.44,646.9,904.9,17.586
22,27,634,0.00064914,0.00091549,0.00019426,61,9.62,649.1,915.5,17.868
22,28,562,0.00062713,0.00090374,0.00020067,28,4.98,627.1,903.7,18.2
22,29,641,0.00065167,0.00089321,0.00015824,22,3.43,651.7,893.2,18.581
22,30,23,0.00053791,0.00090135,0.0001162,1,4.35,537.9,901.4,19.007
23,13,365,0.00061505,0.00088963,0.00016141,5,1.37,615.1,889.6,18.118
23,14,643,0.00063425,0.00088863,0.00018104,27,4.2,634.2,888.6,17.671
23,15,654,0.00064981,0.00089935,0.00021536,47,7.19,649.8,899.4,17.27
23,16,657,0.00069512,0.00090873,0.00019592,102,15.53,695.1,908.7,16.919
23,17,708,0.00069663,0.00091728,0.00019724,120,16.95,696.6,917.3,16.621
23,18,712,0.00068826,0.00090469,0.00022782,184,25.84,688.3,904.7,16.378
23,19,666,0.00068355,0.00090206,0.00023871,158,23.72,683.6,902.1,16.194
23,20,591,0.00064385,0.00090709,0.00024787,117,19.8,643.8,907.1,16.07
23,21,696,0.00063046,0.00091161,0.00024185,136,19.54,630.5,911.6,16.008
23,22,658,0.00058011,0.0009035,0.00028148,106,16.11,580.1,903.5,16.008
23,23,595,0.00064196,0.00091387,0.00024614,119,20.0,642.0,913.9,16.07
23,24,626,0.0006447,0.00091201,0.00022911,102,16.29,644.7,912.0,16.194
23,25,726,0.00064925,0.00090916,0.00021164,111,15.29,649.2,909.2,16.378
23,26,792,0.00062804,0.00090456,0.00024394,125,15.78,628.0,904.6,16.621
23,27,576,0.00060701,0.0009077,0.00022592,48,8.33,607.0,907.7,16.919
23,28,625,0.00063515,0.00089707,0.00021559,51,8.16,635.2,897.1,17.27
23,29,485,0.00066282,0.00090684,0.00016672,57,11.75,662.8,906.8,17.671
23,30,436,0.00059796,0.00090818,0.00016382,6,1.38,598.0,908.2,18.118
24,13,554,0.00063196,0.00093095,0.00016985,22,3.97,632.0,931.0,17.241
24,14,670,0.00059129,0.00088951,0.00022266,34,5.07,591.3,889.5,16.771
24,15,567,0.00063785,0.00092986,0.00023497,94,16.58,637.8,929.9,16.348
24,16,654,0.00065087,0.00091678,0.00022649,37,5.66,650.9,916.8,15.977
24,17,767,0.00062109,0.00091331,0.00023987,124,16.17,621.1,913.3,15.66
24,18,650,0.00070283,0.00090554,0.00020325,143,22.0,702.8,905.5,15.403
24,19,566,0.00063915,0.00091549,0.00024494,125,22.08,639.2,915.5,15.207
24,20,494,0.00069313,0.00090437,0.00019911,85,17.21,693.1,904.4,15.075
24,21,644,0.00061172,0.00092713,0.00024291,83,12.89,611.7,927.1,15.008
24,22,813,0.0006466,0.00090656,0.00022625,99,12.18,646.6,906.6,15.008
24,23,628,0.00060499,0.00092359,0.0002333,79,12.58,605.0,923.6,15.075
24,24,784,0.00067603,0.00089492,0.0002095,156,19.9,676.0,894.9,15.207
24,25,676,0.00063485,0.00093677,0.00024056,89,13.17,634.8,936.8,15.403
24,26,706,0.00062214,0.00090562,0.00023984,84,11.9,622.1,905.6,15.66
24,27,681,0.00067078,0.00090464,0.00018275,77,11.31,670.8,904.6,15.977
24,28,710,0.00063499,0.00091834,0.00021474,50,7.04,635.0,918.3,16.348
24,29,514,0.00065131,0.00088139,0.00020247,40,7.78,651.3,881.4,16.771
24,30,527,0.00061518,0.00088827,0.00018814,48,9.11,615.2,888.3,17.241
25,13,575,0.00061626,0.00090871,0.00019514,30,5.22,616.3,908.7,16.378
25,14,714,0.00061822,0.00088978,0.00020755,29,4.06,618.2,889.8,15.882
25,15,542,0.00065461,0.00091514,0.00022358,52,9.59,654.6,915.1,15.435
