feature,lgbm_gain,et_impurity,enet_abs_coef,lgbm_weak,et_weak,enet_zero,lgbm_rank,et_rank,enet_rank
X796,0.0,0.001383940507061697,0.0,False,False,True,302.5,441.0,297.5
X797,0.0,0.0014149222717884946,0.0,False,False,True,302.5,424.0,297.5
X798,0.0,0.0015243553485853256,0.0,False,False,True,302.5,344.0,297.5
X799,0.0,0.0017100755683931855,0.0,False,False,True,302.5,235.0,297.5
X800,0.0,0.0019365055376182223,0.0,False,False,True,302.5,155.0,297.5
X801,0.0,0.0017578790319283256,0.0,False,False,True,302.5,212.0,297.5
X802,0.0,0.0016491850704828347,0.0,False,False,True,302.5,273.0,297.5
X803,0.0,0.0015020639397184238,0.0,False,False,True,302.5,364.0,297.5
X804,0.0,0.0017049535516713578,0.0,False,False,True,302.5,236.0,297.5
X805,0.0,0.0015077333961963243,0.0,False,False,True,302.5,357.0,297.5
X806,0.0,0.0018230907713989455,0.0,False,False,True,302.5,186.0,297.5
X807,0.0,0.0019714592253850744,0.0,False,False,True,302.5,146.0,297.5
X808,0.0,0.0017671151562159055,0.0,False,False,True,302.5,210.0,297.5
X809,0.0,0.001411316153529712,0.0,False,False,True,302.5,429.0,297.5
X810,0.0,0.0016741923661482965,0.0,False,False,True,302.5,256.0,297.5
X811,0.0,0.0013924779381151182,0.0,False,False,True,302.5,435.0,297.5
X812,0.0,0.0016359888800894333,0.0,False,False,True,302.5,280.0,297.5
X813,0.0,0.0018602790741532721,0.0,False,False,True,302.5,177.0,297.5
X814,0.0,0.0016061501544461228,0.0,False,False,True,302.5,295.0,297.5
X815,0.0,0.0017685832632100735,0.0,False,False,True,302.5,208.0,297.5
X816,0.0,0.0016824927828125592,0.0,False,False,True,302.5,252.0,297.5
X817,0.0,0.001491337596213322,0.0,False,False,True,302.5,369.0,297.5
X818,0.0,0.0013718599312331522,0.0,False,False,True,302.5,449.0,297.5
X819,0.0,0.0026533938039480657,0.0,False,False,True,302.5,33.0,297.5
X820,0.0,0.0015631937672520066,0.0,False,False,True,302.5,321.0,297.5
X821,0.0,0.002344438290630731,0.0,False,False,True,302.5,65.0,297.5
X822,0.0,0.0019276199868727291,0.0,False,False,True,302.5,157.0,297.5
X823,0.0,0.0016497084350476491,0.0,False,False,True,302.5,272.0,297.5
X824,0.0,0.0014117859689882384,0.0,False,False,True,302.5,428.0,297.5
X825,0.0,0.0014587886224745386,0.0,False,False,True,302.5,392.0,297.5
