ufs_serial,X1064,X592,X1066,X1071,X1068,X727,X1063,X1060,X1003,X995,X1070,X594,X1002,X718,X726,health,is_defect
S07165,9.1906821,-1.149812,1.8073441000000003,8.553936799999999,2.4211279,31.5475,28.896848100000003,18.7612149,284.7,1778.5,86.22898939999997,1145.0,2142.75,1089.5,1081.25,0.0,0
S07167,11.1247785,0.2670665,9.6047123,8.561726499999999,2.6092253,,18.6687867,19.91388,290.3275,1823.25,80.28087049999998,,2070.75,1250.75,1112.5,0.0,0
S07168,8.4703235,0.6712229999999999,2.6051501,6.284899299999998,3.1878101,,24.7840581,17.9629335,286.0875,1793.5,87.28304659999998,,2076.75,1054.25,1030.0,0.0,0
S07169,10.5443732,-0.3537138,1.5426195,12.5634454,3.3796066,34.9525,23.8536786,21.6260715,280.55,1677.75,83.51406349999998,1529.5,2228.5,964.25,1058.25,0.0,0
S07176,8.2684353,-0.2880665,0.9003032,6.677554499999999,3.0407524,28.7075,24.9731682,16.6693948,286.75,1740.5,88.3014584,1594.0,1986.25,1057.0,983.75,0.0,0
S07178,10.5443732,-0.3537138,1.5426195,12.5634454,3.3796066,31.0225,23.8536786,21.6260715,282.95,1775.0,83.51406349999998,1204.5,1957.5,1058.75,1065.5,0.0,0
S07180,14.2835264,2.4848251,8.0483958,6.8684455,4.095089,28.155,25.1573262,19.7441388,285.7,1753.5,76.82529659999999,1533.0,2173.5,990.75,1067.0,0.018963842195943,1
S07181,12.0637579,-0.2962837,3.7345722,9.5170981,3.5891032,27.724999999999998,23.0194479,19.9735472,285.85,1754.25,81.55678520000001,1599.0,2114.5,1020.25,1104.5,0.0,0
S07182,14.4853758,-0.0173551999999999,5.6615557,6.1474445,3.7851127,29.6325,33.2011414,19.1249974,285.5,1777.75,82.85210479999998,1214.5,2152.75,1055.5,1127.75,0.0028509149314518,1
S07183,7.739910999999998,0.5923469,5.3077845,5.4673358,3.8553555,30.84,21.5149507,16.0173672,285.0,1763.25,86.35259549999998,1058.0,2077.0,1079.0,1114.25,0.012799601675709,1
S07185,12.0637579,-0.2962837,3.7345722,9.5170981,3.5891032,33.3125,23.0194479,19.9735472,284.55,1763.5,81.55678520000001,1408.0,2194.75,1113.75,1082.75,0.0072605409322125,1
S07187,12.0637579,-0.2962837,3.7345722,9.5170981,3.5891032,26.41,23.0194479,19.9735472,286.35,1768.75,81.55678520000001,1498.5,1922.5,1094.5,1135.0,0.0,0
S07189,14.4853758,-0.0173551999999999,5.6615557,6.1474445,3.7851127,27.442500000000003,33.2011414,19.1249974,284.45,1675.75,82.85210479999998,1653.25,2186.5,1025.0,1110.5,0.0,0
S07190,14.4853758,-0.0173551999999999,5.6615557,6.1474445,3.7851127,26.355,33.2011414,19.1249974,285.45,1753.5,82.85210479999998,1606.0,2063.0,1054.75,1140.0,0.0,0
S07191,13.809745,0.1007409,3.7300291,14.3364405,2.8452763,29.0825,25.1361155,23.1683234,286.75,1753.25,80.44332179999998,1685.5,2186.5,993.25,1094.5,0.0,0
S07192,9.0334178,0.4642645,1.3930042,7.321511099999999,3.6097515,25.445,23.4572087,19.9624309,287.2,1764.25,83.6523672,1369.0,1949.25,1074.25,1088.5,0.0,0
S07193,13.0279686,0.0118576,4.0452167,13.815455599999998,2.8829727000000003,27.2825,27.7774239,24.508011,288.95000000000005,1769.75,82.1689834,1836.0,2032.5,1067.25,1090.25,0.0014886167246238,1
S07194,13.7847899,-0.0206938,6.389965699999999,5.8506800000000005,1.5652066,25.892500000000002,31.9130786,15.697827599999998,288.4,1595.0,80.9025395,1429.0,2156.25,1074.0,1136.5,0.0074196823121939,1
S07195,13.7847899,-0.0206938,6.389965699999999,5.8506800000000005,1.5652066,26.46,31.9130786,15.697827599999998,286.55,1720.75,80.9025395,1738.0,2146.5,1049.0,1126.25,0.0057802627867961,1
S07196,9.0334178,0.4642645,1.3930042,7.321511099999999,3.6097515,27.372500000000002,23.4572087,19.9624309,288.55,1785.0,83.6523672,1813.0,2006.75,1106.5,1088.0,0.0029731726504009,1
S07197,13.7847899,-0.0206938,6.389965699999999,5.8506800000000005,1.5652066,27.752499999999998,31.9130786,15.697827599999998,284.7,1669.5,80.9025395,1494.5,2201.25,1019.75,1135.75,0.0,0
S07198,9.0334178,0.4642645,1.3930042,7.321511099999999,3.6097515,24.37,23.4572087,19.9624309,287.1,1756.0,83.6523672,1499.0,1987.5,1078.25,1098.0,0.0074315978982185,1
S07199,7.739910999999998,0.5923469,5.3077845,5.4673358,3.8553555,26.3775,21.5149507,16.0173672,288.55,1715.25,86.35259549999998,1744.5,2068.25,1074.25,1132.75,0.0,0
S07202,16.2648185,0.5819099,2.9844809,18.3053709,4.5196982000000006,26.2175,24.2492342,29.0038901,285.1,1743.0,77.0391429,1725.25,2103.0,1035.5,1123.75,0.0104007844684807,1
