split,model,segment,range,n_unit,mean_y,mean_pred,mean_residual,rmse_segment,se_segment,pct_total_se
oof,bag_zit_combined_best_xy,medium,"(0.01, 0.05]",2326,0.01649097435008248,0.0028216094967392817,-0.013669364853343196,0.015067194612239154,0.5280493422016641,29.616073940829985
oof,bag_zit_combined_best_xy,large,"(0.05, 0.5]",19,0.06961348462372297,0.0028076936788254733,-0.06680579094489751,0.06825305420581358,0.08851110876001284,4.964217038301471
oof,bag_zit_combined_best_xy,extreme,> 0.5,1,1.0,0.0011986511181054,-0.9988013488818946,0.9988013488818946,0.9976041345282922,55.951433797230656
oof,bag_zit_pp_hpo,y=0,y == 0,18541,0.0,0.002248171139927745,0.002248171139927745,0.0024741165612311156,0.11349414739642538,6.375359504129322
oof,bag_zit_pp_hpo,very_small,"(0, 0.005]",3061,0.0028828975500956046,0.00282796780879513,-5.492974130047446e-05,0.001265374310582395,0.004901187938544408,0.2753167085909775
oof,bag_zit_pp_hpo,small,"(0.005, 0.01]",2239,0.007307517744365402,0.0028641108220865043,-0.004443406922278899,0.004702221976192265,0.04950628609847012,2.7809396240459145
oof,bag_zit_pp_hpo,medium,"(0.01, 0.05]",2326,0.01649097435008248,0.0028330596206271666,-0.013657914729455312,0.015047943482290623,0.5267008426854911,29.586611294756768
oof,bag_zit_pp_hpo,large,"(0.05, 0.5]",19,0.06961348462372297,0.002805212947882037,-0.06680827167584094,0.06823685833953604,0.08846910788494826,4.96961632573057
oof,bag_zit_pp_hpo,extreme,> 0.5,1,1.0,0.0014368378294455,-0.9985631621705545,0.9985631621705545,0.9971283888440572,56.012156542746446
oof,bag_zit_hpo,y=0,y == 0,18541,0.0,0.002205262254264066,0.002205262254264066,0.0024091070773423814,0.10760819851018544,6.045684106320677
oof,bag_zit_hpo,very_small,"(0, 0.005]",3061,0.0028828975500956046,0.002743703967192318,-0.0001391935829032868,0.001237477441831028,0.004687463632683476,0.26335283719472646
oof,bag_zit_hpo,small,"(0.005, 0.01]",2239,0.007307517744365402,0.0027784195370032065,-0.0045290982073621965,0.004775854604540219,0.05106887454910222,2.8691706344286403
oof,bag_zit_hpo,medium,"(0.01, 0.05]",2326,0.01649097435008248,0.0027588395661467886,-0.01373213478393569,0.015112972016393599,0.5312628732894565,29.847609696953636
oof,bag_zit_hpo,large,"(0.05, 0.5]",19,0.06961348462372297,0.0027075440046272475,-0.06690594061909573,0.06834549687319137,0.08875103191402482,4.986243710895243
oof,bag_zit_hpo,extreme,> 0.5,1,1.0,0.0017318953597637,-0.9982681046402363,0.9982681046402363,0.9965392087420097,55.987939014207086
oof,bag_zit_fixed_ge,y=0,y == 0,18541,0.0,0.0021788715478444263,0.0021788715478444263,0.002555760612870237,0.12110818614525098,6.790228735432257
oof,bag_zit_fixed_ge,very_small,"(0, 0.005]",3061,0.0028828975500956046,0.0029342674482923173,5.136989819671245e-05,0.0014440040582707628,0.006382637171845745,0.3578582729339682
oof,bag_zit_fixed_ge,small,"(0.005, 0.01]",2239,0.007307517744365402,0.002957031858920451,-0.004350485885444952,0.0046620624744946795,0.04866427656952877,2.728482521859606
oof,bag_zit_fixed_ge,medium,"(0.01, 0.05]",2326,0.01649097435008248,0.0029207544305950967,-0.013570219919487382,0.014988951124713235,0.522579293435092,29.299695154950452
oof,bag_zit_fixed_ge,large,"(0.05, 0.5]",19,0.06961348462372297,0.002934172850775416,-0.06667931177294757,0.0681455162351971,0.08823241627626872,4.946967727492746
oof,bag_zit_fixed_ge,extreme,> 0.5,1,1.0,0.0017020366308642,-0.9982979633691358,0.9982979633691358,0.9965988236669644,55.876767587330974
oof,lgbm,y=0,y == 0,18541,0.0,0.0022521569223373224,0.0022521569223373224,0.0024618697799691333,0.112373344965572,6.293895959031575
oof,lgbm,very_small,"(0, 0.005]",3061,0.0028828975500956046,0.002759846897619174,-0.00012305065247643102,0.0012684269234911796,0.004924863899186371,0.27583570644236016
oof,lgbm,small,"(0.005, 0.01]",2239,0.007307517744365402,0.0027831421608247517,-0.0045243755835406504,0.004776848578054449,0.05109013415402257,2.8614969946556217
oof,lgbm,medium,"(0.01, 0.05]",2326,0.01649097435008248,0.0027553639905932583,-0.01373561035948922,0.015117029398257353,0.5315481680274095,29.771373876992968
oof,lgbm,large,"(0.05, 0.5]",19,0.06961348462372297,0.002710859278506805,-0.06690262534521618,0.06835486706396414,0.08877536917531198,4.972201703929125
oof,lgbm,extreme,> 0.5,1,1.0,0.0016403920983999,-0.9983596079016,0.9983596079016,0.9967219066894366,55.82519575894837
oof,enet,y=0,y == 0,18541,0.0,0.0023772208081082294,0.0023772208081082294,0.0024829687482924466,0.11430774587844861,6.358432336702048
oof,enet,very_small,"(0, 0.005]",3061,0.0028828975500956046,0.0026278401463477956,-0.00025505740374780943,0.0012559815317311688,0.004828695690240355,0.26859890014423576
oof,enet,small,"(0.005, 0.01]",2239,0.007307517744365402,0.00265759682840261,-0.004649920915962793,0.004897997195606012,0.05371445304655999,2.987896511953738
oof,enet,medium,"(0.01, 0.05]",2326,0.01649097435008248,0.0026330335561054116,-0.013857940793977067,0.015228344412091805,0.5394051534384271,30.00471353755624
oof,enet,large,"(0.05, 0.5]",19,0.06961348462372297,0.0025838503140047527,-0.06702963430971824,0.0684473339694216,0.08901571302290917,4.9515488544522865
oof,enet,extreme,> 0.5,1,1.0,0.0017700862456948,-0.9982299137543053,0.9982299137543053,0.9964629607139277,55.42880985919143
oof,et,y=0,y == 0,18541,0.0,0.002371109671903219,0.002371109671903219,0.002454612549474629,0.11171180124219884,6.238290903676283
oof,et,very_small,"(0, 0.005]",3061,0.0028828975500956046,0.002655760060962482,-0.00022713748913312257,0.0011729064689301727,0.004211047039251092,0.2351563232156506
oof,et,small,"(0.005, 0.01]",2239,0.007307517744365402,0.002673120055224574,-0.00463439768914083,0.004859954945069248,0.052883303870482706,2.9531475620586596
oof,et,medium,"(0.01, 0.05]",2326,0.01649097435008248,0.0026521449373665272,-0.013838829412715952,0.015202642358525784,0.5375858984685699,30.020259122760443
oof,et,large,"(0.05, 0.5]",19,0.06961348462372297,0.0026544361704670056,-0.06695904845325598,0.06839303103505591,0.08887452718908027,4.962995389628874
oof,et,extreme,> 0.5,1,1.0,0.0022640025846488,-0.9977359974153512,0.9977359974153512,0.9954771205384058,55.590150698660075
oof,catboost,y=0,y == 0,18541,0.0,0.0022545484121045743,0.0022545484121045743,0.002493726224973432,0.11530036946461446,6.454476290525111
oof,catboost,very_small,"(0, 0.005]",3061,0.0028828975500956046,0.0027932320469044513,-8.966550319115402e-05,0.0013132713898997704,0.00527925081694311,0.2955307028756065
oof,catboost,small,"(0.005, 0.01]",2239,0.007307517744365402,0.00281962415039234,-0.004487893593973063,0.004749909579565663,0.05051551423045718,2.8278416662336405
oof,catboost,medium,"(0.01, 0.05]",2326,0.01649097435008248,0.0027883637109652262,-0.013702610639117254,0.015092204663693114,0.5298038163867212,29.65824123007069
oof,catboost,large,"(0.05, 0.5]",19,0.06961348462372297,0.0027555680920418155,-0.06685791653168116,0.06830701482742722,0.0886511172180529,4.962660023288922
oof,catboost,extreme,> 0.5,1,1.0,0.0015948587786778,-0.9984051412213222,0.9984051412213222,0.9968128260171683,55.80125008700604
oof,_stacking,y=0,y == 0,18541,0.0,0.0023226787849982547,0.0023226787849982547,0.0025817735392587348,0.12358604798723528,6.955430983667756
oof,_stacking,very_small,"(0, 0.005]",3061,0.0028828975500956046,0.00296983924162557,8.694169152996508e-05,0.0012721692940533872,0.004953967435673549,0.2788096160961781
oof,_stacking,small,"(0.005, 0.01]",2239,0.007307517744365402,0.003002457015920919,-0.004305060728444483,0.004574928488156052,0.04686220433402993,2.637407970368524
oof,_stacking,medium,"(0.01, 0.05]",2326,0.01649097435008248,0.0029808185927009006,-0.013510155757381579,0.014916480314164385,0.5175382214235975,29.127085452993796
oof,_stacking,large,"(0.05, 0.5]",19,0.06961348462372297,0.002953071930338347,-0.06666041269338463,0.0681021720231684,0.08812021085119118,4.959411315628576
oof,_stacking,extreme,> 0.5,1,1.0,0.0021185503839812,-0.9978814496160188,0.9978814496160188,0.995767387487767,56.041854661245175
val,zit_only,y=0,y == 0,6178,0.0,0.002167043649752162,0.002167043649752162,0.0024707402248740377,0.03771395474493195,13.259562589329542
