split,model,segment,n_corrected,bias,rmse_orig,rmse_corr,delta
val,bag_zit_combined_best_xy,very_small,997,-0.00010414976584505043,0.005711802775220742,0.005711694295713588,-1.0847950715400095e-07
val,bag_zit_combined_best_xy,small,773,-0.00441128202914595,0.005711802775220742,0.005558872228731998,-0.00015293054648874392
val,bag_zit_combined_best_xy,medium,771,-0.013571978819940997,0.005711802775220742,0.0040436847714128985,-0.0016681180038078435
val,bag_zit_combined_best_xy,large,8,-0.07657751696169263,0.005711802775220742,0.005220065439557286,-0.0004917373356634561
val,bag_zit_pp_hpo,y=0,6178,0.0022618007291519324,0.005712059642231358,0.0053857310883840825,-0.0003263285538472752
val,bag_zit_pp_hpo,very_small,997,-9.248514229800992e-05,0.005712059642231358,0.005711974105107509,-8.55371238483657e-08
val,bag_zit_pp_hpo,small,773,-0.00439747063307405,0.005712059642231358,0.00556010531288351,-0.00015195432934784776
val,bag_zit_pp_hpo,medium,771,-0.013572621513250355,0.005712059642231358,0.004043857030283348,-0.0016682026119480093
val,bag_zit_pp_hpo,large,8,-0.07671928304050073,0.005712059642231358,0.005218438053834952,-0.0004936215883964059
val,bag_zit_hpo,y=0,6178,0.0022172524509269102,0.0057112560796865495,0.005397978675860661,-0.00031327740382588835
val,bag_zit_hpo,very_small,997,-0.00018215166750169145,0.0057112560796865495,0.005710924225368075,-3.3185431847458646e-07
val,bag_zit_hpo,small,773,-0.004490224931512097,0.0057112560796865495,0.005552708567026587,-0.00015854751265996243
val,bag_zit_hpo,medium,771,-0.013638746616128626,0.0057112560796865495,0.004023013005124245,-0.0016882430745623041
val,bag_zit_hpo,large,8,-0.07675110837459637,0.0057112560796865495,0.0052171293837897925,-0.000494126695896757
val,bag_zit_fixed_ge,y=0,6178,0.002174304973539702,0.005717112590472099,0.005416513818416548,-0.00030059877205555145
val,bag_zit_fixed_ge,very_small,997,-6.1596942961929305e-06,0.005717112590472099,0.005717112211382584,-3.790895149874407e-10
val,bag_zit_fixed_ge,small,773,-0.004331311523489702,0.005717112590472099,0.0055698899038836985,-0.00014722268658840052
val,bag_zit_fixed_ge,medium,771,-0.01348848330196681,0.005717112590472099,0.004075743426447375,-0.0016413691640247237
val,bag_zit_fixed_ge,large,8,-0.07658386091804144,0.005717112590472099,0.00522578969307065,-0.0004913228974014489
val,lgbm,y=0,6178,0.0022639857312722984,0.005731161224522776,0.005405338332134498,-0.0003258228923882778
val,lgbm,very_small,997,-0.00018361587762351413,0.005731161224522776,0.005730825184690911,-3.360398318644556e-07
val,lgbm,small,773,-0.004484641918027366,0.005731161224522776,0.005573578172807616,-0.00015758305171515927
val,lgbm,medium,771,-0.013646393456282603,0.005731161224522776,0.004048945979648634,-0.0016822152448741417
val,lgbm,large,8,-0.07685312620386747,0.005731161224522776,0.005237541124005726,-0.0004936201005170497
val,enet,y=0,6178,0.002388038875208065,0.005781420938297365,0.005421048176860394,-0.00036037276143697106
val,enet,very_small,997,-0.00032823957382425203,0.005781420938297365,0.005780356335841619,-1.064602455746154e-06
val,enet,small,773,-0.004639449668029525,0.005781420938297365,0.00561411447529686,-0.000167306463000505
val,enet,medium,771,-0.013785656950842332,0.005781420938297365,0.004078611766164223,-0.0017028091721331415
val,enet,large,8,-0.07697996425031456,0.005781420938297365,0.005290800473752504,-0.0004906204645448607
val,et,y=0,6178,0.002387271039804845,0.005757863785338338,0.0053961584788965655,-0.0003617053064417725
val,et,very_small,997,-0.0002901965657037035,0.005757863785338338,0.005757028269189513,-8.355161488253146e-07
val,et,small,773,-0.004592404307741888,0.005757863785338338,0.0055932922750690775,-0.00016457151026926051
val,et,medium,771,-0.013766641598335256,0.005757863785338338,0.004050867493947153,-0.0017069962913911852
val,et,large,8,-0.07687869667296192,0.005757863785338338,0.0052664048353838885,-0.0004914589499544495
val,catboost,y=0,6178,0.0022697620809946513,0.005730597891376354,0.005403025668779271,-0.00032757222259708306
val,catboost,very_small,997,-0.0001442902155890533,0.005730597891376354,0.005730390360901595,-2.0753047475906977e-07
val,catboost,small,773,-0.004449893865815347,0.005730597891376354,0.00557546552893251,-0.00015513236244384457
val,catboost,medium,771,-0.013610999794202256,0.005730597891376354,0.004058662104534445,-0.0016719357868419096
val,catboost,large,8,-0.07676595551740553,0.005730597891376354,0.005238096579659659,-0.0004925013117166952
val,_stacking,y=0,6178,0.0023316999334533945,0.005701225411726696,0.005353050107462435,-0.0003481753042642614
val,_stacking,very_small,997,4.789856695416638e-05,0.005701225411726696,0.00570120242495987,-2.298676682593176e-08
val,_stacking,small,773,-0.004266370844986174,0.005701225411726696,0.005558032354412006,-0.0001431930573146901
val,_stacking,medium,771,-0.013423749594103137,0.005701225411726696,0.004072369124551839,-0.0016288562871748574
val,_stacking,large,8,-0.07649044254886772,0.005701225411726696,0.005209662315177139,-0.000491563096549557
