ufs_serial,run_wf_xy,position,pi,one_minus_pi,mu,pred,pred_clipped,health
S00069,0000012_8_41_16,1,0.48735031413252405,0.512649685867476,0.0018414840587930056,0.000944036224270199,0.000944036224270199,0.0024141213958187
S00071,0000015_13_30_26,1,0.41952235092190576,0.5804776490780943,0.0017593680819674965,0.0010212738480835282,0.0010212738480835282,0.0
S00072,0000012_10_49_25,1,0.4108644123997391,0.5891355876002609,0.0018288397451980795,0.001077434577913982,0.001077434577913982,0.0
S00075,0000012_6_37_16,1,0.5169637148600583,0.4830362851399417,0.001808707769580987,0.0008736714819221496,0.0008736714819221496,0.0
S00079,0000012_4_27_19,1,0.5360403092084478,0.4639596907915522,0.0018140738415706402,0.0008416571386081575,0.0008416571386081575,0.0
S00080,0000012_10_34_31,1,0.6539440615634691,0.34605593843653093,0.0014646042151680104,0.0005068349861180647,0.0005068349861180647,0.0024551575598599
S00081,0000012_5_31_25,1,0.5468861631287281,0.45311383687127194,0.0016865418453436512,0.0007641954465876171,0.0007641954465876171,0.0048692551117381
S00084,0000004_21_17_18,1,0.508889210355131,0.491110789644869,0.0017944908319101275,0.0008812938094698606,0.0008812938094698606,0.0
S00086,0000004_20_42_12,1,0.4986815603546588,0.5013184396453412,0.001936122553071092,0.000970613937267754,0.000970613937267754,0.0
S00087,0000005_13_32_29,1,0.5736323198822838,0.4263676801177162,0.0017740912675909201,0.000756415178079839,0.000756415178079839,0.0071833265884257
S00092,0000003_22_33_16,1,0.5035671731987549,0.4964328268012451,0.001658647285010637,0.000823406960364041,0.000823406960364041,0.0
S00096,0000004_19_42_16,1,0.5801296656666262,0.41987033433337384,0.0017121340483642567,0.0007188742953102533,0.0007188742953102533,0.0
S00098,0000004_9_61_16,1,0.5642263442073672,0.43577365579263283,0.0018490212498670534,0.0008057547496928291,0.0008057547496928291,0.0
S00099,0000005_7_33_16,1,0.5215008229176827,0.47849917708231726,0.0017811011381264831,0.0008522554288939009,0.0008522554288939009,0.002429023161249
S00101,0000005_12_36_19,1,0.8037683557933396,0.1962316442066604,0.0017606363686805213,0.0003454925694762226,0.0003454925694762226,0.0047811447811447
S00103,0000003_18_48_19,1,0.4596356020856124,0.5403643979143876,0.0016595349444602622,0.0008967536010811563,0.0008967536010811563,0.0023947190902958
S00106,0000005_18_38_23,1,0.4102692148266495,0.5897307851733504,0.0017794771120937566,0.0010494124345130573,0.0010494124345130573,0.0
S00108,0000005_10_54_18,1,0.5104058563907439,0.4895941436092561,0.0018318527324400983,0.0008968643697572857,0.0008968643697572857,0.0
S00109,0000006_11_43_18,1,0.660725900997392,0.33927409900260797,0.0018816307684986998,0.0006383885836379812,0.0006383885836379812,0.0024466006035276
S00111,0000005_10_55_15,1,0.6319679694500899,0.36803203054991007,0.0018485437069577454,0.000680323294031917,0.000680323294031917,0.0
S00113,0000005_11_51_20,1,0.5816774044716853,0.41832259552831474,0.0016397306481597137,0.0006859363807054972,0.0006859363807054972,0.0
S00114,0000004_25_46_27,1,0.5430252807488889,0.4569747192511111,0.0016025892545092036,0.0007323427746541908,0.0007323427746541908,0.0
S00116,0000006_5_51_22,1,0.5130685878729871,0.48693141212701285,0.0016926840592685012,0.0008242210392644956,0.0008242210392644956,0.0
S00120,0000006_16_30_16,1,0.5594516379430204,0.44054836205697956,0.0017157439052370893,0.0007558681671614452,0.0007558681671614452,0.0
S00121,0000005_17_50_27,1,0.5312937883112288,0.46870621168877125,0.0018325303798497495,0.0008589183721439611,0.0008589183721439611,0.0
S00122,0000006_16_18_16,1,0.5516535926551528,0.4483464073448472,0.002047263664800929,0.0009178833090011419,0.0009178833090011419,0.0
S00123,0000006_24_29_23,1,0.6423863234578685,0.3576136765421315,0.0016838397436753911,0.0006021641214435169,0.0006021641214435169,0.0120079634300735
S00124,0000005_17_31_19,1,0.5481220447659798,0.4518779552340202,0.0017114201446059084,0.000773353035490829,0.000773353035490829,0.0
S00126,0000017_6_56_26,1,0.5375631474741291,0.46243685252587086,0.0016640728439869632,0.0007695286083471058,0.0007695286083471058,0.0145181549966406
S00127,0000017_11_44_20,1,0.5659371306493377,0.4340628693506623,0.0017553255169086637,0.0007619216305138091,0.0007619216305138091,0.0
S00128,0000017_19_43_26,1,0.4327062898802233,0.5672937101197767,0.0016069483228624928,0.0009116116760474163,0.0009116116760474163,0.0023878847281078
S00129,0000017_24_13_21,1,0.6728072549264253,0.32719274507357465,0.0017275362481724722,0.0005652373272536553,0.0005652373272536553,0.0071621056878935
S00130,0000017_9_33_16,1,0.6664020968485908,0.33359790315140925,0.0015409544699527945,0.0005140591800280436,0.0005140591800280436,0.0048756321399316
S00131,0000017_3_63_24,1,0.5925549789820457,0.4074450210179543,0.001793029460019429,0.0007305609260234275,0.0007305609260234275,0.0
S00132,0000017_9_37_26,1,0.5989442470547502,0.40105575294524975,0.0016426995767695144,0.0006588141156241407,0.0006588141156241407,0.0
S00133,0000017_9_35_15,1,0.4771799422872275,0.5228200577127725,0.0013245297377479114,0.0006924907139316465,0.0006924907139316465,0.0
S00134,0000017_11_39_25,1,0.47634498815485704,0.523655011845143,0.0016397088509935902,0.0008586417577896343,0.0008586417577896343,0.0
S00135,0000018_24_27_14,1,0.5069009404353032,0.4930990595646968,0.0016660033248602543,0.0008215046727202494,0.0008215046727202494,0.0024002704530087
S00136,0000001_22_29_23,1,0.6328883425885051,0.3671116574114949,0.0016719268334694178,0.0006137838309057104,0.0006137838309057104,0.0024124339857098
