ufs_serial,prob,reg,pred,health
S00142,0.29335325331248857,0.0077067554309179255,0.002260801778143463,0.0023883666839667
S00144,0.35427912068554257,0.008318426095717124,0.002947044682678334,0.0
S00145,0.2453871856714093,0.008076341033324299,0.0019818305966899713,0.0048074365336157
S00146,0.36428655985361036,0.009217380664125736,0.0033577678929955506,0.0
S00148,0.29423219705723347,0.008126632469495377,0.0023911169261762754,0.0023848940713548
S00149,0.3250195790910843,0.00804211382074945,0.002613844449022578,0.0
S00150,0.16006494262627524,0.008504960424435546,0.0013613460023760172,0.0024284534611569
S00151,0.23634817646773512,0.008622139646987088,0.00203782698281556,0.0
S00152,0.26154927020747465,0.008495003147239963,0.0022218618735708124,0.0
S00153,0.3198630469955557,0.00893296705282341,0.002857326060227005,0.0
S00154,0.28350083564310663,0.008459881222621963,0.0023983833960547533,0.0024048348309115
S00155,0.2485575914103568,0.008130937302906432,0.0020210061919190454,0.0
S00156,0.24374942738086053,0.00777815268298407,0.001895920262558271,0.0
S00157,0.2903197147295293,0.00741627966347331,0.0021530921962539806,0.0023905723905723
S00158,0.22866037386003785,0.007859988096688355,0.0017972678167242067,0.0
S00162,0.26840300865804584,0.008183354572062599,0.002196436988057177,0.0
S00164,0.27056718914823746,0.00826425608032033,0.002236036538053502,0.0
S00165,0.2036025474437077,0.009853139224667806,0.0020061242464598844,0.0
S00166,0.2808654779588942,0.008148420240245473,0.0022886099453864723,0.0
S00168,0.47100291943851386,0.008382835680212055,0.0039483400785532185,0.0044468304030778
S00169,0.4587623240065218,0.007716104445962302,0.003539858007906721,0.002185201306724
S00170,0.3740003168627569,0.008045896699042114,0.0030091679148867606,0.0
S00171,0.372637204543851,0.008142572658416397,0.0030342255132274794,0.002232734493277
S00174,0.33819101318159084,0.007230576663297981,0.0024453160476479103,0.0
S00175,0.35837036137514794,0.00839411957862144,0.00300820366681677,0.0
S00177,0.3649783080339517,0.008370220868671377,0.0030549490505181525,0.0043713251623854
S00178,0.38566078099687257,0.008256921510860571,0.003184370798508365,0.0
S00180,0.2685780492916277,0.008571846238637694,0.002302209741601088,0.0
S00181,0.3479116126772958,0.008923323396441871,0.003104527833297136,0.0
S00183,0.3216847790274876,0.008411641492706437,0.0027058970348397163,0.0
S00185,0.25889298618847123,0.008047877271567654,0.002083538979314476,0.0
S00186,0.21093896800925171,0.008621465050001649,0.0018186029403751795,0.0
S00187,0.26846665706048056,0.008273183495402604,0.002221073916258679,0.0023849627379564
S00188,0.3219869940985795,0.008950812166857551,0.0028820451043474558,0.0
S00189,0.25004040849630316,0.008363002394063948,0.0020910885348673107,0.0
S00191,0.26293256125709547,0.008334686062516186,0.0021914603536911967,0.0
S00192,0.2886081028617002,0.010134658302765205,0.002924944505912644,0.0
S00193,0.24799405573633224,0.008615381043916938,0.002136563286794877,0.0
S00194,0.2491751040253897,0.009664830961118441,0.0024082352601244948,0.0023942345675443
S00199,0.36825161980824056,0.008813656142060063,0.0032456431507464664,0.0
S00201,0.3247922085707712,0.007972399078020862,0.0025893731041579755,0.0
S00202,0.323543781185734,0.008139840933400217,0.0026335949138427206,0.0
S00205,0.30281263460136104,0.008682269691862369,0.002629100959712391,0.0024191978193146
S00206,0.27705708708569277,0.00895507075560261,0.002481065818193533,0.0
S00207,0.38058589067766163,0.00794317218360948,0.0030230592603050404,0.0024246859373094
S00208,0.3510763105824955,0.009113890597983612,0.0031996710861925803,0.0
S00210,0.3215571015403837,0.00921404161064131,0.002962840513790308,0.0
S00211,0.4034392345481918,0.00861628705802308,0.003476148255336323,0.0024002356770644
S00214,0.2387165750339632,0.008036102277527019,0.0019183508123138812,0.0
